TITLE ABRV,YEAR,ISO_ABREV,ISSN,LANGUAGE,CATEGORY,TITLE,QUARTIL,CAT SEARCH
4OR-Q J OPER RES,2015,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q2,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2016,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q2,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2017,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q3,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2018,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q2,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4OR-Q J OPER RES,2019,4OR-Q. J. Oper. Res.,16194500,ENGLISH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Q4,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
ABH MATH SEM HAMBURG,2009,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q4,MATHEMATICS
ABH MATH SEM HAMBURG,2010,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q3,MATHEMATICS
ABH MATH SEM HAMBURG,2011,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q4,MATHEMATICS
ABH MATH SEM HAMBURG,2012,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q2,MATHEMATICS
ABH MATH SEM HAMBURG,2013,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q4,MATHEMATICS
ABH MATH SEM HAMBURG,2014,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q3,MATHEMATICS
ABH MATH SEM HAMBURG,2015,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q2,MATHEMATICS
ABH MATH SEM HAMBURG,2016,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q3,MATHEMATICS
ABH MATH SEM HAMBURG,2017,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q4,MATHEMATICS
ABH MATH SEM HAMBURG,2018,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q4,MATHEMATICS
ABH MATH SEM HAMBURG,2019,Abh. Math. Semin. Univ. Hamburg,00255858,GERMAN,MATHEMATICS,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Q4,MATHEMATICS
ABSTR APPL ANAL,2009,Abstract Appl. Anal.,10853375,ENGLISH,"MATHEMATICS, APPLIED",ABSTRACT AND APPLIED ANALYSIS,Q1,MATHEMATICS
ABSTR APPL ANAL,2010,Abstract Appl. Anal.,10853375,ENGLISH,"MATHEMATICS, APPLIED",ABSTRACT AND APPLIED ANALYSIS,Q1,MATHEMATICS
ABSTR APPL ANAL,2011,Abstract Appl. Anal.,10853375,ENGLISH,"MATHEMATICS, APPLIED",ABSTRACT AND APPLIED ANALYSIS,Q1,MATHEMATICS
ABSTR APPL ANAL,2012,Abstract Appl. Anal.,10853375,ENGLISH,MATHEMATICS,ABSTRACT AND APPLIED ANALYSIS,Q1,MATHEMATICS
ABSTR APPL ANAL,2013,Abstract Appl. Anal.,10853375,ENGLISH,"MATHEMATICS, APPLIED",ABSTRACT AND APPLIED ANALYSIS,Q1,MATHEMATICS
ACAD MED,2009,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2010,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2011,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2012,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2013,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2014,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2015,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2016,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2017,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2018,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACAD MED,2019,Acad. Med.,10402446,ENGLISH,"EDUCATION, SCIENTIFIC DISCIPLINES",ACADEMIC MEDICINE,Q1,"EDUCATION, SCIENTIFIC DISCIPLINES"
ACCREDIT QUAL ASSUR,2009,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2010,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2011,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2012,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2013,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2014,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2015,Accredit. Qual. Assur.,09491775,ENGLISH,INSTRUMENTS & INSTRUMENTATION,ACCREDITATION AND QUALITY ASSURANCE,Q3,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2016,Accredit. Qual. Assur.,09491775,ENGLISH,"CHEMISTRY, ANALYTICAL",ACCREDITATION AND QUALITY ASSURANCE,Q4,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2017,Accredit. Qual. Assur.,09491775,ENGLISH,"CHEMISTRY, ANALYTICAL",ACCREDITATION AND QUALITY ASSURANCE,Q4,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2018,Accredit. Qual. Assur.,09491775,ENGLISH,"CHEMISTRY, ANALYTICAL",ACCREDITATION AND QUALITY ASSURANCE,Q4,INSTRUMENTS & INSTRUMENTATION
ACCREDIT QUAL ASSUR,2019,Accredit. Qual. Assur.,09491775,ENGLISH,"CHEMISTRY, ANALYTICAL",ACCREDITATION AND QUALITY ASSURANCE,Q4,INSTRUMENTS & INSTRUMENTATION
ACM COMPUT SURV,2009,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2010,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2011,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2012,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2013,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2014,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2015,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2016,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2017,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2018,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM COMPUT SURV,2019,ACM Comput. Surv.,03600300,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM COMPUTING SURVEYS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM J COMPUT CULT HE,2016,ACM J. Comput. Cult. Herit.,15564673,ENGLISH,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,Q4,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
ACM J COMPUT CULT HE,2017,ACM J. Comput. Cult. Herit.,15564673,ENGLISH,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,Q4,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
ACM J COMPUT CULT HE,2018,ACM J. Comput. Cult. Herit.,15564673,ENGLISH,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,Q3,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
ACM J COMPUT CULT HE,2019,ACM J. Comput. Cult. Herit.,15564673,ENGLISH,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,Q3,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
ACM J EMERG TECH COM,2009,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2010,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2011,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,NANOSCIENCE & NANOTECHNOLOGY,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q4,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2012,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2013,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2014,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"ENGINEERING, ELECTRICAL & ELECTRONIC",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2015,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"ENGINEERING, ELECTRICAL & ELECTRONIC",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2016,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"ENGINEERING, ELECTRICAL & ELECTRONIC",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM J EMERG TECH COM,2017,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC"
ACM J EMERG TECH COM,2018,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC"
ACM J EMERG TECH COM,2019,ACM J. Emerg. Technol. Comput. Syst.,15504832,ENGLISH,"ENGINEERING, ELECTRICAL & ELECTRONIC",ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
ACM SIGCOMM COMP COM,2013,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGCOMM COMP COM,2014,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGCOMM COMP COM,2015,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGCOMM COMP COM,2016,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGCOMM COMP COM,2017,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q1,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGCOMM COMP COM,2018,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q3,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGCOMM COMP COM,2019,ACM SIGCOMM Comp. Commun. Rev.,01464833,ENGLISH,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Q3,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
ACM SIGPLAN NOTICES,2009,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2010,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2011,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2012,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2013,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2014,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2015,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM SIGPLAN NOTICES,2016,ACM Sigplan Not.,03621340,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM SIGPLAN NOTICES,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T ALGORITHMS,2010,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q2,"COMPUTER SCIENCE, THEORY & METHODS"
ACM T ALGORITHMS,2011,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q3,"MATHEMATICS, APPLIED"
ACM T ALGORITHMS,2012,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q3,"MATHEMATICS, APPLIED"
ACM T ALGORITHMS,2013,ACM Trans. Algorithms,15496325,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM TRANSACTIONS ON ALGORITHMS,Q4,"MATHEMATICS, APPLIED"
ACM T ALGORITHMS,2014,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q2,"COMPUTER SCIENCE, THEORY & METHODS"
ACM T ALGORITHMS,2015,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q3,"MATHEMATICS, APPLIED"
ACM T ALGORITHMS,2016,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q1,"COMPUTER SCIENCE, THEORY & METHODS"
ACM T ALGORITHMS,2017,ACM Trans. Algorithms,15496325,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM TRANSACTIONS ON ALGORITHMS,Q4,"MATHEMATICS, APPLIED"
ACM T ALGORITHMS,2018,ACM Trans. Algorithms,15496325,ENGLISH,"MATHEMATICS, APPLIED",ACM TRANSACTIONS ON ALGORITHMS,Q3,"MATHEMATICS, APPLIED"
ACM T ALGORITHMS,2019,ACM Trans. Algorithms,15496325,ENGLISH,"COMPUTER SCIENCE, THEORY & METHODS",ACM TRANSACTIONS ON ALGORITHMS,Q4,"MATHEMATICS, APPLIED"
ACM T APPL PERCEPT,2009,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q2,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2010,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2011,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q2,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2012,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2013,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q2,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2014,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2015,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q4,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
ACM T APPL PERCEPT,2016,ACM Trans. Appl. Percept.,15443558,ENGLISH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ACM TRANSACTIONS ON APPLIED PERCEPTION,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
