DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Link,Publisher,Language,ISSN,ISBN
SD,Applied ichnology in sedimentary geology: Python scripts as a method to automatize ichnofabric analysis in marine core images,"Image analysis has been succesfully applied in core research, especially in studies from modern deposits, to enhance the visibility of ichnological features and characterize ichnoassemblages and ichnofabrics. Its application to ichnological research provides useful information for marine core studies, hence sedimentary geology, but also for hydrocarbon exploration. Here we develop a new methodology, using Python programming language, which significantly improve the ichnological analysis. The method automatizes the process of obtaining continuous ichnological information, in this case about the percentage of bioturbation as a key aspect of the ichnofabric approach. The method affords the possibility of automatically generating continuous percentage and other index records using pixel counts in previously treated images. The resulting data sets are easy to correlate with the information usually obtained from cores (e.g., geochemical and mineralogical data). Such an integration of different proxies for to the field of sedimentary geology especially in the use of ichnological analysis, making it easier for the researcher, less time consuming, and more likely to be undertaken. The coding and sharing of open software tools allow for great flexibility, giving researchers in ichnology or related fields the option to implement new features, develop more complex tools to improve the package, and share findings with the scientific community.",Ichnology; Image analysis; Palaeoenvironment; Python,"Casanova-Arenillas, S.; Rodríguez-Tovar, F. J.; Martínez-Ruiz, F.",2020,Journal,Computers & Geosciences,10.1016/j.cageo.2020.104407,http://www.sciencedirect.com/science/article/pii/S0098300419310052,,English,0098-3004,
SD,GPUPeP: Parallel Enzymatic Numerical P System simulator with a Python-based interface,"Membrane computing is a computational paradigm inspired by the structure and behavior of a living cell. P Systems are the computing devices that are used to realize membrane computing models. Numerous theoretical studies on many variants of P Systems have shown them to be computationally universal. There is a wide range of applications of P Systems from modeling of biological processes to image processing. Among many variants of P Systems, one of the most important is Enzymatic Numerical P System (ENPS). ENPS is a class of P System in which membranes operate on numerical values. To realize the power of ENPS there are a few simulators developed. Each and every simulator has some advantages as well as some disadvantages. Here, a GPU based simulator using Python as a user interaction language is developed. This tool is a completely parallel variant, compatible with a Python based sequential simulator (PeP) which was the first Python based work for ENPS. The developed simulator uses CUDA to interact with GPU and gives the desired speed up, while processing the membranes. There are two important case studies which show the performance of the developed tool to be far better than the other serial simulators.",ENPS simulator; Enzymatic Numerical P System; GPUPeP; Graphical Processing Unit (GPU); Membrane computing; Python-based interface,"Raghavan, S.; Rai, Shanthanu S.; Rohit, M. P.; Chandrasekaran, K.",2020,Journal,Biosystems,10.1016/j.biosystems.2020.104186,http://www.sciencedirect.com/science/article/pii/S0303264720300824,,English,0303-2647,
SD,jMetalPy: A Python framework for multi-objective optimization with metaheuristics,"This paper describes jMetalPy, an object-oriented Python-based framework for multi-objective optimization with metaheuristic techniques. Building upon our experiences with the well-known jMetal framework, we have developed a new multi-objective optimization software platform aiming not only at replicating the former one in a different programming language, but also at taking advantage of the full feature set of Python, including its facilities for fast prototyping and the large amount of available libraries for data processing, data analysis, data visualization, and high-performance computing. As a result, jMetalPy provides an environment for solving multi-objective optimization problems focused not only on traditional metaheuristics, but also on techniques supporting preference articulation, constrained and dynamic problems, along with a rich set of features related to the automatic generation of statistical data from the results generated, as well as the real-time and interactive visualization of the Pareto front approximations produced by the algorithms. jMetalPy offers additionally support for parallel computing in multicore and cluster systems. We include some use cases to explore the main features of jMetalPy and to illustrate how to work with it.",Metaheuristics; Multi-objective optimization; Python; Software framework; Statistical analysis; Visualization,"Benítez-Hidalgo, Antonio; Nebro, Antonio J.; García-Nieto, José; Oregi, Izaskun; Del Ser, Javier",2019,Journal,Swarm and Evolutionary Computation,10.1016/j.swevo.2019.100598,http://www.sciencedirect.com/science/article/pii/S2210650219301397,,English,2210-6502,
SD,Design of Radial Turbine Parametric Modeller for Turbocharger using Python,"The time taken for CAD modelling a single component and then building the family of that component consumes a lot of time and is a rigorous task. This problem can be solved by applying parametrisation to the component and make it adapt to changes in the design inputs. The Thermodynamically valid model is based on set of numerical relations. This type of approach requires real experimental data to be legitimate. This method of applying experimental data and back-end usage of thermodynamics equations allows us to create a valid model for industrial usage. This is the objective behind designing of turbocharger turbine parametric modeller. The modeller not only gives direct control of the blade geometry but also provides valuable feedback of the design. This has allowed the user to construct a good initial design before refining it with more computationally expensive methods. The modeller is developed using the python API within the framework of the open source software FreeCAD. The approach to construct a variety of turbo machinery turbines is based partially on state-of-art parametrisation techniques and uses fundamental design variables such as Specific speed, Flow Coefficient and Fluid inlet conditions. The modeller is based on experimental results of turbocharger turbines as well as thermodynamics study of Radial turbines. The outcome of designing the modeller helped in minimizing the time of manual modelling with an automated process",CAD; FCMacro; FreeCAD; Parametric Modeller; Python; Radial Turbine; Turbocharger,"Nigam, Yash; Singh, Ghanshyam; Prakash, Arnav",2020,Journal,Materials Today: Proceedings,10.1016/j.matpr.2020.03.090,http://www.sciencedirect.com/science/article/pii/S2214785320318654,,English,2214-7853,
SD,A water resource simulator in Python,"A new generalised water resource network modelling Python library, Pywr, is presented. Given hydrological inflows, Pywr simulates customisable water allocation and operation rules throughout complex multi-purpose managed water systems at each user-defined time-step. The model uses a low-level interface to existing linear programming solvers for fast priority-based optimisation-driven simulation. The library uses an object based system for users to provide input data and record simulation outputs. A novel multi-scenario simulation method provides an almost 4-fold improvement in model run-times and supports calculating robustness metrics across scenarios. A flexible interface to specify multi-objective optimisation formulations as part of a model’s input file is included. These features enable analysts to apply advanced water planning approaches, such as robust decision making and robust optimisation, to real systems. The library is available under the GPLv3 open source licence, includes several examples and a regression test suite.",Decision making under deep uncertainty; Multi-reservoir operations; Network optimisation; Open source; Python; Water resource simulation,"Tomlinson, J. E.; Arnott, J. H.; Harou, J. J.",2020,Journal,Environmental Modelling & Software,10.1016/j.envsoft.2020.104635,http://www.sciencedirect.com/science/article/pii/S1364815219307133,,English,1364-8152,
SD,A python analysis of mass loss related to thermogravimetric analysis of tetrachloroethylene-methyl methacrylate copolymers,"A tetrachloroethylene/methyl methacrylate copolymer matrix was synthesized at incremental methyl methacrylate proportions. A mass-loss event was observed when Thermogravimetric Analysis (TGA) was performed on the resulting solid polymers. A Python analysis in Jupyter Notebooks was developed to analyze each sigmoidal curve generated by thermogravimetric analysis. This algorithm selects a data range, performs a regression analysis on this range, calculates the line intercepts, finds the nearest neighbor on the mass-loss plot, then calculates the rate of mass-loss. The TGA mass-loss was observed to be inversely proportional to the concentration of methyl methacrylate.",Methyl methacrylate; Python; Tetrachloroethylene; TGA,"Cheatwood, Loren; Cote, Peter; Perygin, Donna",2019,Journal,Chemical Data Collections,10.1016/j.cdc.2019.100304,http://www.sciencedirect.com/science/article/pii/S2405830019301818,,English,2405-8300,
SD,Introducing Parselmouth: A Python interface to Praat,"This paper introduces Parselmouth, an open-source Python library that facilitates access to core functionality of Praat in Python, in an efficient and programmer-friendly way. We introduce and motivate the package, and present simple usage examples. Specifically, we focus on applications in data visualisation, file manipulation, audio manipulation, statistical analysis, and integration of Parselmouth into a Python-based experimental design for automated, in-the-loop manipulation of acoustic data. Parselmouth is available at https://github.com/YannickJadoul/Parselmouth.",Acoustics; Data analysis; Phonetics; Praat; Python; Software,"Jadoul, Yannick; Thompson, Bill; de Boer, Bart",2018,Journal,Journal of Phonetics,10.1016/j.wocn.2018.07.001,http://www.sciencedirect.com/science/article/pii/S0095447017301389,,English,0095-4470,
SD,A Python-based laboratory course for image and video signal processing on embedded systems,"The usage of embedded systems is omnipresent in our everyday life, e.g., in smartphones, tablets, or automotive devices. These devices are able to deal with challenging image processing tasks like real-time detection of faces or high dynamic range imaging. However, the size and computational power of an embedded system is a limiting demand. To help students understanding these challenges, a new lab course ""Image and Video Signal Processing on Embedded Systems"" has been developed and is presented in this paper. The Raspberry Pi 3 Model B and the open source programming language Python have been chosen, because of low hardware cost and free availability of the programming language. In this lab course the students learn handling both hard- and software, Python as an alternative to MATLAB, the image signal processing path, and how to develop an embedded image processing system, from the idea to implementation and debugging. At the beginning of the lab course an introduction to Python and the Raspberry Pi is given. After that, various experiments like the implementation of a corner detector and creation of a panorama image are prepared in the lab course. Students participating in the lab course develop a profound understanding of embedded image and video processing algorithms which is verified by comparing questionnaires at the beginning and the end of the lab course. Moreover, compared to a peer group attending an accompanying lecture with exercises, students having participated in this lab course outperform their peer group in the exam for the lecture by 0.5 on a five-point scale.",Computer science; Education; Embedded system; Image and video signal processing; Laboratory course; Python,"Jaskolka, Karina; Seiler, Jürgen; Beyer, Frank; Kaup, André",2019,Journal,Heliyon,10.1016/j.heliyon.2019.e02560,http://www.sciencedirect.com/science/article/pii/S2405844019362206,,English,2405-8440,
SD,Easy pre/post-processing of finite elements with custom symbolic-objects: A self-expressive Python interface,"This study presents an experimental object-oriented (OO) application-programming interface (API) that aims to facilitate the programming of custom pre/post-processing modules for finite element (FE) developers/researchers. The proposed API does not claim to be a full-fledged FE pre/post-processor, but aims to provide an alternative perspective in FE-software design. In this context, a variety of programming techniques are provided to enable the user to develop custom code with concise and descriptive statements. The API is presented in the form of several symbolic-objects in which the very core FE programming operations are abstracted by utilizing metaprogramming and advanced Python language features in an effort to enable the user benefit from these symbols in his/her custom pre/post-processing modules automatically. The examples given show that, this approach results in a concise and self-expressive data-representation layer that can be used flexibly in the processing of different FE discretization schemes.",Finite element; Object–oriented; Pre/post-processing; Programming; Python,"Yilmaz, Murat",2019,Journal,Computers & Structures,10.1016/j.compstruc.2019.07.002,http://www.sciencedirect.com/science/article/pii/S0045794918316341,,English,0045-7949,
SD,BEEP: A Python library for Battery Evaluation and Early Prediction,"Battery evaluation and early prediction software package (BEEP) provides an open-source Python-based framework for the management and processing of high-throughput battery cycling data-streams. BEEPs features include file-system based organization of raw cycling data and metadata received from cell testing equipment, validation protocols that ensure the integrity of such data, parsing and structuring of data into Python-objects ready for analytics, featurization of structured cycling data to serve as input for machine-learning, and end-to-end examples that use processed data for anomaly detection and featurized data to train early-prediction models for cycle life. BEEP is developed in response to the software and expertise gap between cell-level battery testing and data-driven battery development.",Battery; Cycling experiments; Data management; Machine-learning; Python,"Herring, Patrick; Balaji Gopal, Chirranjeevi; Aykol, Muratahan; Montoya, Joseph H.; Anapolsky, Abraham; Attia, Peter M.; Gent, William; Hummelshøj, Jens S.; Hung, Linda; Kwon, Ha-Kyung; Moore, Patrick; Schweigert, Daniel; Severson, Kristen A.; Suram, Santosh; Yang, Zi; Braatz, Richard D.; Storey, Brian D.",2020,Journal,SoftwareX,10.1016/j.softx.2020.100506,http://www.sciencedirect.com/science/article/pii/S2352711020300492,,English,2352-7110,
SD,zfit: Scalable pythonic fitting,"Statistical modeling is a key element in many scientific fields and especially in High-Energy Physics (HEP) analysis. The standard framework to perform this task in HEP is the C++ ROOT/RooFit toolkit; with Python bindings that are only loosely integrated into the scientific Python ecosystem. In this paper, zfit, a new alternative to RooFit written in pure Python, is presented. Most of all, zfit provides a well defined high-level API and workflow for advanced model building and fitting, together with an implementation on top of TensorFlow, allowing a transparent usage of CPUs and GPUs. It is designed to be extendable in a very simple fashion, allowing the usage of cutting-edge developments from the scientific Python ecosystem in a transparent way. The main features of zfit are introduced, and its extension to data analysis, especially in the context of HEP experiments, is discussed.",Data analysis; Model fitting; Python; Statistical inference,"Eschle, Jonas; Puig Navarro, Albert; Silva Coutinho, Rafael; Serra, Nicola",2020,Journal,SoftwareX,10.1016/j.softx.2020.100508,http://www.sciencedirect.com/science/article/pii/S2352711019303851,,English,2352-7110,
SD,A structural health monitoring Python code to detect small changes in frequencies,"Observing the occurrence of cracks in the early stage remains a challenge, as changes in the modal parameters produced by these cracks are small. This remark is also valid for deeper cracks because in most experiments it is possible to acquire short signals, which ensure a coarse frequency resolution. Therefore, the accurate estimation of frequency by standard methods is impossible. To improve frequency readability, we designed an algorithm that we implemented in the PyFEST application, written in Python programming language. It allows a fast and accurate calculation of harmonic components of a signal. PyFEST is based on an original signal post-processing algorithm, which consists of overlapping spectra for the signal iteratively cropped. The different signal lengths ensure different positions of the spectral lines in the overlapped spectrum. Therefore, adding numerous spectral lines of different positions in the overlapped spectrum we obtain a dense spectrum with significantly increased frequency resolution. From this spectrum, we select the three magnitudes of the individual spectra found in the frequency range of interest. By interpolation, we attain the maximum that has usually an inter-line position representing the estimated frequency. To this frequency, we apply a correction term that is known a priori and so we improve the frequency estimation. To test the reliability of PyFEST, we provide examples for signals generated with known frequencies that have one or more harmonic components. For signals containing one harmonic component the exact frequency was found, while for signals with multiple components the error are less than 0.1%. The frequency change is exactly estimated for both types of signals. Because PyFEST allows observing minor frequency changes, so we succeed to localize the crack position and severity in real beams with high precision.",Algorithm; Damage detection; Discrete Fourier Transform; Frequency estimation; Python language,"Nedelcu, Dorian; Gillich, Gilbert-Rainer",2021,Journal,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2020.107087,http://www.sciencedirect.com/science/article/pii/S0888327020304738,,English,0888-3270,
SD,PySAP: Python Sparse Data Analysis Package for multidisciplinary image processing,"We present the open-source image processing software package PySAP (Python Sparse data Analysis Package) developed for the COmpressed Sensing for Magnetic resonance Imaging and Cosmology (COSMIC) project. This package provides a set of flexible tools that can be applied to a variety of compressed sensing and image reconstruction problems in various research domains. In particular, PySAP offers fast wavelet transforms and a range of integrated optimisation algorithms. In this paper we present the features available in PySAP and provide practical demonstrations on astrophysical and magnetic resonance imaging data.",Convex optimisation; Image processing; Open-source software; Reconstruction,"Farrens, S.; Grigis, A.; El Gueddari, L.; Ramzi, Z.; G.r., Chaithya; Starck, S.; Sarthou, B.; Cherkaoui, H.; Ciuciu, P.; Starck, J. -L.",2020,Journal,Astronomy and Computing,10.1016/j.ascom.2020.100402,http://www.sciencedirect.com/science/article/pii/S2213133720300561,,English,2213-1337,
SD,PRMS-Python: A Python framework for programmatic PRMS modeling and access to its data structures,"A persistent problem in numerical hydrologic modeling, is tracking provenance or how particular data came to be. With multiple modules available for individual flux parameterizations and over 100 parameters, the Precipitation-Runoff Modeling System (PRMS) is a perfect example of why it is such a challenge to track the history of input and output of complex models. We present a lightweight, object-oriented Python framework with programmatic tools for management and visualization using PRMS as an example platform. Within this framework, a modeler can write intuitive code for a myriad of basic or advanced applications. The framework also includes methods that, for example, apply systematic or stochastic parameter modifications while simultaneously saving metadata on which parameters were varied and with what improvement in performance. We include a case study that uses built in Monte Carlo parameter resampling for global sensitivity analysis of eight PRMS parameters related to estimation of shortwave solar radiation.",Framework; Parameter sensitivity; PAWN; PRMS; Python,"Volk, John M.; Turner, Matthew A.",2019,Journal,Environmental Modelling & Software,10.1016/j.envsoft.2019.01.006,http://www.sciencedirect.com/science/article/pii/S1364815218308004,,English,1364-8152,
