DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Affiliations,Publisher,Language,ISSN,ISBN
Inspec,Troppo - A Python Framework for the Reconstruction of Context-Specific Metabolic Models,"The surge in high-throughput technology availability for molecular biology has enabled the development of powerful predictive tools for use in many applications, including (but not limited to) the diagnosis and treatment of human diseases such as cancer. Genome-scale metabolic models have shown some promise in clearing a path towards precise and personalized medicine, although some challenges still persist. The integration of omics data and subsequent creation of context-specific models for specific cells/tissues still poses a significant hurdle, and most current tools for this purpose have been implemented using proprietary software. Here, we present a new software tool developed in Python, troppo - Tissue-specific RecOnstruction and Phenotype Prediction using Omics data, implementing a large variety of context-specific reconstruction algorithms. Our framework and workflow are modular, which facilitates the development of newer algorithms or omics data sources.",context-specific metabolic models - technology availability - molecular biology - predictive tools - human diseases - genome-scale metabolic models - personalized medicine - context-specific models - proprietary software - software tool - Tissue-specific RecOnstruction - Phenotype Prediction - context-specific reconstruction algorithms - troppo - Python framework - omics data sources,"Ferreira, J.(1); Vieira, V.(1); Gomes, J.(1); Correia, S.(1); Rocha, M.(1)",2020.0,Conference,"Practical Applications of Computational Biology and Bioinformatics, 13th International Conference. Advances in Intelligent Systems and Computing (1005)",10.1007/978-3-030-23873-5_18,"(1) Centre of Biol. Eng., Univ. of Minho, Braga, Portugal",Springer International Publishing,English,,
Inspec,"PythonTeX: reproducible documents with LaTeX, Python, and more","PythonTeX is a LaTeX package that allows Python code in LaTeX documents to be executed and provides access to the output. This makes possible reproducible documents that combine results with the code required to generate them. Calculations and figures may be next to the code that created them. Since code is adjacent to its output in the document, editing may be more efficient. Since code output may be accessed programmatically in the document, copy-and-paste errors are avoided and output is always guaranteed to be in sync with the code that generated it. This paper provides an introduction to PythonTeX and an overview of major features, including performance optimizations, debugging tools, and dependency tracking. Several complete examples are presented. Finally, advanced features are summarized. Though PythonTeX was designed for Python, it may be extended to support additional languages; support for the Ruby and Julia languages is already included. PythonTeX contains a utility for converting documents into plain LaTeX, suitable for format conversion, sharing, and journal submission.",journal submission - format conversion - Ruby language - Julia language - dependency tracking - debugging tools - performance optimizations - LaTeX documents - Python code - PythonTeX,"Poore, G.M.(1)",2015.0,Journal,Computational Science and Discovery,10.1088/1749-4699/8/1/014010,"(1) Dept. of Phys., Union Univ., Jackson, TN, United States",IOP Publishing,English,1749-4680,
Inspec,PyCDT: a Python toolkit for modeling point defects in semiconductors and insulators [arXiv],"Point defects have a strong impact on the performance of semiconductor and insulator materials used in technological applications, spanning microelectronics to energy conversion and storage. The nature of the dominant defect types, how they vary with processing conditions, and their impact on materials properties are central aspects that determine the performance of a material in a certain application. This information is, however, difficult to access directly from experimental measurements. Consequently, computational methods, based on electronic density functional theory (DFT), have found widespread use in the calculation of point-defect properties. Here we have developed the Python Charged Defect Toolkit (PyCDT) to expedite the setup and post-processing of defect calculations with widely used DFT software. PyCDT has a user-friendly command-line interface and provides a direct interface with the Materials Project database. This allows for setting up many charged defect calculations for any material of interest, as well as post-processing and applying state-of-the-art electrostatic correction terms. Our paper serves as a documentation for PyCDT, and demonstrates its use in an application to the well-studied GaAs compound semiconductor. We anticipate that the PyCDT code will be useful as a framework for undertaking readily reproducible calculations of charged point-defect properties, and that it will provide a foundation for automated, high-throughput calculations.",insulators - Python charged defect toolkit - DFT software - electronic density functional theory - user-friendly command-line interface - material project database - electrostatic correction terms - compound semiconductor - PyCDT code - charged point-defect properties - GaAs,"Broberg, D.(1); Medasani, B.(2); Zimmermann, N.(2); Canning, A.(2); Haranczyk, M.(2); Asta, M.(1); Hautier, G.(3)",2016.0,arXiv,arXiv,,"(1) Dept. of Mater. Sci. & Eng., Univ. of California, Berkeley, Berkeley, CA, United States; (2) Comput. Res. Div., Lawrence Berkeley Nat. Lab., Berkeley, CA, United States; (3) Inst. of Condensed Matter & Nanosci., Univ. Catholique de Louvain, Louvain-la-Neuve, Belgium",arXiv,English,,
Inspec,High-Performance Python-C++ Bindings with PyPy and Cling,"The use of Python as a high level productivity language on top of high performance libraries written in C++ requires efficient, highly functional, and easy-to-use cross-language bindings. C++ was standardized in 1998 and up until 2011 it saw only one minor revision. Since then, the pace of revisions has increased considerably, with a lot of improvements made to expressing semantic intent in interface definitions. For automatic Python-C++ bindings generators it is both the worst of times, as parsers need to keep up, and the best of times, as important information such as object ownership and thread safety can now be expressed. We present cppyy, which uses Cling, the Clang/LLVM-based C++ interpreter, to automatically generate Python-C++ bindings for PyPy. Cling provides dynamic access to a modern C++ parser and PyPy brings a full toolbox of dynamic optimizations for high performance. The use of Cling for parsing, provides up-to-date C++ support now and in the foreseeable future. We show that with PyPy the overhead of calls to C++ functions from Python can be reduced by an order of magnitude compared to the equivalent in CPython, making it sufficiently low to be unmeasurable for all but the shortest C++ functions. Similarly, access to data in C++ is reduced by two orders of magnitude over access from CPython. Our approach requires no intermediate language and more pythonistic presentations of the C++ libraries can be written in Python itself, with little performance cost due to inlining by PyPy. This allows for future dynamic optimizations to be fully transparent.",private Boolean query processing - encrypted data - data outsourcing - privacy risks - data encryption - data confidentiality - support complex queries - security requirements - privacy-preserving query processing framework - Bloom filter - additive homomorphic encryption - query evaluation - PyPy - Cling - high level productivity language - high performance libraries - Python-C++ bindings generators - thread safety - C++ parser - dynamic optimizations - CPython - C++ functions - C++ libraries,"Lavrijsen, W.T.L.P.(1); Dutta, A.(2)",2016.0,Conference,2016 6th Workshop on Python for High-Performance and Scientific Computing (PyHPC),10.1109/PyHPC.2016.008,"(1) Lawrence Berkeley Nat. Lab., Berkeley, CA, United States; (2) Nanyang Technol. Univ., Singapore, Singapore",IEEE,English,,
Inspec,Toolbox of image processing using the Python language,"This work consists in the study, development and implementation of a toolbox for image processing using the Python language and the numerical Python package. This set has ""open source"" distribution and is adequate for multidimensional mathematical processing. Python is a modern and well projected language, interpreted, ""very-high-level"", object oriented and extremely portable, apart from being suitable for rapid application development (RAD). The system is generated using the methodology of the Adesso project for construction of scientific software. This environment is useful in education, research and development of final applications.",Python language - image processing toolbox - numerical Python package - open source distribution - mathematical processing - very-high-level language - rapid application development - Adesso project,"Silva, A.G.(1); Lotufo, R.D.A.(1); Machado, R.C.; Saude, A.V.",2003.0,Conference,Proceedings 2003 International Conference on Image Processing (Cat. No.03CH37429),,"(1) DCA-FEEC, Campinas Univ., Brazil",IEEE,English,,0-7803-7750-8
Inspec,State management for distributed Python applications,"We present a novel state management mechanism that can be used to capture the complete execution state of distributed Python applications. This mechanism can serve as the foundation for a variety of dependability strategies including checkpointing, replication, and migration. Python is increasingly used for rapid prototyping parallel pro grams and, in some cases, used for high-performance application development using libraries such as NumPy. Building on Stackless Python and the River parallel and distributed programming environment, we have developed mechanisms for state capture at the language level. Our approach allows for migration and checkpointing of applications in heterogeneous environments. In addition, we allow for preemptive state capture so that programmers need not introduce explicit snapshot requests. Our mechanism can be extended to support application or domain-specific state capture. To our knowledge, this is the first general checkpointing scheme for Python. We describe our system, the implementation, and give some initial performance figures.",state management - distributed Python applications - dependability strategy - replication - rapid prototyping - NumPy - Stackless Python - River parallel programming - distributed programming environment - application migration - application checkpointing - heterogeneous environment - preemptive state capture - domain-specific state capture,"Benson, G.D.(1)",2008.0,Conference,2008 IEEE International Parallel & Distributed Processing Symposium,,"(1) Dept. of Comput. Sci., Univ. of San Francisco, San Francisco, CA, United States",IEEE,English,,
Inspec,Genetic algorithm implementation in Python,"This paper deals with genetic algorithm implementation in Python. Genetic algorithm is a probabilistic search algorithm based on the mechanics of natural selection and natural genetics. In genetic algorithms, a solution is represented by a list or a string. List or string processing in Python is more productive than in C/C++/Java. Genetic algorithms implementation in Python is quick and easy. In this paper, we introduce genetic algorithm implementation methods in Python. And we discuss various tools for speeding up Python programs.",genetic algorithm - Python - probabilistic search algorithm - natural selection - natural genetics - list processing - string processing - C language - C++ language - Java language - program tool,Wonjae Lee(1); Hak-Young Kim(1),2005.0,Conference,Proceedings. Fourth Annual ACIS International Conference on Computer and Information Science,,"(1) Electron. & Telecommun. Res. Inst., Korea, Republic of",IEEE Computer Society,English,,0-7695-2296-3
Inspec,TRAPping Modelica with Python,"This paper introduces TRAP, a small but powerful compiler development system based on the object-oriented, dynamic language Python. Employing a very high level language as a compiler tool's base language reduces the need for additional tool support and importing library functionality to a minimum. Python in particular has the additional advantage of being a powerful and already quite popular general-purpose component integration framework, which can be utilized both for incorporating subcomponents and for embedding the compiler developed into a larger system. Exploiting these strengths, TRAP enables rapid prototyping and development of compilers-in particular, translators for medium-complexity special purpose languages-on a very high level of abstraction.",TRAP - compiler development system - object-oriented dynamic language - Python - high level language - compiler tool base language - component integration framework - subcomponent incorporation - compiler embedding - rapid prototyping - translators - medium-complexity special purpose languages - abstraction - Modelica,"Ernst, T.(1)",1999.0,Conference,"Compiler Construction. 8th International Conference, CC'99. Held as Part of the Joint European Conferences on Theory and Practice of Software, ETAPS'99. Proceedings",,"(1) GMD First Res. Inst. for Comput. Archit. & Software Technol., Berlin, Germany",Springer-Verlag,English,,3-540-65717-7
Inspec,PVLIB Python 2015,"We describe improvements to the open source PVLIB-Python modeling package. PVLIB-Python provides most of the functionality of its parent PVLIB-MATLAB package and now follows standard Python design patterns and conventions, has improved unit test coverage, and is installable. PVLIBPython is hosted on GitHub.com and co-developed by GitHub contributors. We also describe a roadmap for the future of the PVLIB-Python package.",open source PVLIB-Python modeling package - standard Python design patterns - GitHub.com - GitHub contributor,"Holmgren, W.F.(1); Andrews, R.W.(2); Lorenzo, A.T.(3); Stein, J.S.(4)",2015.0,Conference,2015 IEEE 42nd Photovoltaic Specialist Conference (PVSC). Proceedings,10.1109/PVSC.2015.7356005,"(1) Dept. of Atmos. Sci., Univ. of Arizona, Tucson, AZ, United States; (2) Heliolytics, Toronto, ON, Canada; (3) Coll. of Opt. Sci., Univ. of Arizona, Tucson, AZ, United States; (4) Sandia Nat. Labs., Albuquerque, NM, United States",IEEE,English,,
Inspec,Python tools for reproducible research on hyperbolic problems,Reproducible research in computational science is only possible if the computer codes used to generate published results are distributed and/or archived in a form that can later be used to regenerate the results and can be examined to determine details of the method used. The author discusses some difficulties in achieving this goal and surveys a set of Python tools for facilitating reproducible research on finite volume methods for hyperbolic conservation laws using the Clawpack software.,Python tools - hyperbolic problems - computational science - computer codes - finite volume methods,"LeVeque, R.J.(1)",2009.0,Journal,Computing in Science & Engineering,10.1109/MCSE.2009.13,"(1) Univ. of Washington, Seattle, WA, United States",IEEE,English,1521-9615,
Inspec,Lowering the learning curve for declarative programming: a python API for the IDP system,"Programmers may be hesitant to use declarative systems, because of the associated learning curve. In this paper, we present an API that integrates the IDP Knowledge Base system into the Python programming language. IDP is a state-of-the-art logical system, which uses SAT, SMT, Logic Programming and Answer Set Programming technology. Python is currently one of the most widely used (teaching) languages for programming. The first goal of our API is to allow a Python programmer to use the declarative power of IDP, without needing to learn any new syntax or semantics. The second goal is allow IDP to be added to/removed from an existing code base with minimal changes.",declarative programming - Python API - IDP knowledge base system - Python programming language - SAT - SMT - logic programming - answer set programming technology - Python programmer,"Vennekens, J.(1)",2017.0,Conference,"Practical Aspects of Declarative Languages. 19th International Symposium, PADL 2017. Proceedings: LNCS 10137",10.1007/978-3-319-51676-9_6,"(1) Dept. Computerscience @ Technol. Campus De Nayer, KU Leuven, Sint-katelijne-waver, Belgium",Springer International Publishing,English,,
Inspec,pyGlobus: a Python interface to Globus Toolkit™,"Developing high-performance, problem-solving environments/applications that allow scientists to easily harness the power of the emerging national-scale 'Grid' infrastructure is currently a difficult task. Although many of the necessary low-level services, e.g. security, resource discovery, remote access to computation/data resource, etc., are available, it can be a challenge to rapidly integrate them into a new application. To address this difficulty we have begun the development of a Python-based high-level interface to the Grid services provided by the Globus Toolkit. In this paper we will explain why rapid application development using Grid services is important, look briefly at a motivating example, and finally look at the design and implementation of the pyGlobus package.",pyGlobus - Python interface - Globus Toolkit™ - high-level interface - Grid services,"Jackson, K.R.(1)",2002.0,Journal,Concurrency and Computation Practice & Experience,10.1002/cpe.683,"(1) Lawrence Berkeley Nat. Lab., Berkeley, CA, United States",Wiley,English,1532-0626,
Inspec,A Python library for provenance recording and querying,"In many application domains the provenance of data plays an important role. It is often required to get store detailed information of the underlying processes that led to the data (e.g., results of numerical simulations) for the purpose of documentation or checking the process for compliance to applicable regulations. Especially in science and engineering more and more applications are being developed in Python, which is used either for development of the whole application or as a glue language for coordinating codes written in other programming languages. To easily integrate provenance recording into applications developed in Python, a provenance client library with a suitable Python API is useful. In this paper we present such a Python client library for recording and querying provenance information. We show an exemplary application, explain the overall architecture of the library, and give some details on the technologies used for the implementation.",Python library - provenance recording - provenance querying - API - exemplary application - grid computing,"Bochner, C.(1); Gude, R.(1); Schreiber, A.(1)",2008.0,Conference,"Provenance and Annotation of Data and Processes. Second International Provenance and Annotation Workshop, IPAW 2008. Revised Selected Papers",10.1007/978-3-540-89965-5_24,"(1) Simulation & Software Technol., German Aerosp. Center, Cologne, Germany",Springer-Verlag,English,,
Inspec,Migrating legacy Fortran to Python while retaining Fortran-level performance through transpilation and type hints,"We propose a method of accelerating Python code by just-in-time compilation leveraging type hints mechanism introduced in Python 3.5. In our approach performance-critical kernels are expected to be written as if Python was a strictly typed language, however without the need to extend Python syntax. This approach can be applied to any Python application, however we focus on a special case when legacy Fortran applications are automatically translated into Python for easier maintenance. We developed a framework implementing two-way transpilation and achieved performance equivalent to that of Python manually translated to Fortran, and better than using other currently available JIT alternatives (up to 5x times faster than Numba in some experiments).",legacy FORTRAN migration - FORTRAN-level performance - just-in-time compilation - type hints mechanism - Python 3.5 - performance-critical kernels - Python syntax - two-way transpilation,"Bysiek, M.(1); Drozd, A.(1); Matsuoka, S.(1)",2016.0,Conference,2016 6th Workshop on Python for High-Performance and Scientific Computing (PyHPC),10.1109/PyHPC.2016.006,"(1) Tokyo Inst. of Technol., Tokyo, Japan",IEEE,English,,
Inspec,Stage: Python with actors,"Programmers hoping to exploit multi-core processors must split their applications into threads suitable for independent, concurrent execution. The lock-based concurrency of many existing languages is clumsy and error prone - a barrier to writing fast and correct concurrent code. The Actor model exudes concurrency - each entity in the model (an Actor) executes concurrently. Interaction is restricted to message passing which prevents many of the errors associated with shared mutable state and locking, the common alternative. By favouring message passing over method calling the Actor model makes distribution straightforward. Early Actor-based languages enjoyed only moderate success, probably because they were before their time. More recent Actor languages have enjoyed greater success, the most successful being ERLANG, but the language is functional; a paradigm unfamiliar to many programmers. There is a need for a language that presents a familiar and fast encoding of the Actor model. In this paper we present STAGE, our mobile Actor language based on PYTHON.",Python programming language - multicore processor - independent concurrent execution - lock-based concurrency - actor model - message passing - actor-based language - ERLANG - STAGE mobile actor language,"Ayres, J.(1); Eisenbach, S.(1)",2009.0,Conference,2009 ICSE Workshop on Multicore Software Engineering (IWMSE 2009),10.1109/IWMSE.2009.5071380,"(1) Dept. of Comput., Imperial Coll. London, London, United Kingdom",IEEE,English,,
Inspec,Fermipy: An open-source Python package for analysis of Fermi-LAT Data [arXiv],"Fermipy is an open-source python framework that facilitates analysis of data collected by the Fermi Large Area Telescope (LAT). Fermipy is built on the Fermi Science Tools, the publicly available software suite provided by NASA for the LAT mission. Fermipy provides a high-level interface for analyzing LAT data in a simple and reproducible way. The current feature set includes methods for extracting spectral energy distributions and lightcurves, generating test statistic maps, finding new source candidates, and fitting source position and extension. Fermipy leverages functionality from other scientific python packages including NumPy, SciPy, Matplotlib, and Astropy and is organized as a community-developed package following an open-source development model. We review the current functionality of Fermipy and plans for future development.",Fermipy - open-source Python framework - Fermi-LAT data - Fermi large area telescope - high-level interface - spectral energy distributions - NumPy - SciPy - Matplotlib - Astropy - open-source development model,"Wood, M.; Caputo, R.; Charles, E.; Di Mauro, M.; Magill, J.",2017.0,arXiv,arXiv,,,arXiv,English,,
Inspec,Python bindings for libcloudph++ [arXiv],This technical note introduces the Python bindings for libcloudph++. The libcloudph++ is a C++ library of algorithms for representing atmospheric cloud microphysics in numerical models. The bindings expose the complete functionality of the library to the Python users. The bindings are implemented using the Boost.Python C++ library and use NumPy arrays. This note includes listings with Python scripts exemplifying the use of selected library components. An example solution for using the Python bindings to access libcloudph++ from Fortran is presented.,Python bindings - libcloudph++ - atmospheric cloud microphysics - numerical models - Boost.Python C++ library - NumPy arrays - Python scripts - Fortran,"Jarecka, D.(1); Arabas, S.(1); Del Vento, D.(2)",2015.0,arXiv,arXiv,,"(1) Inst. of Geophys., Univ. of Warsaw, Warsaw, Poland; (2) Nat. Center for Atmos. Res., Boulder, CO, United States",arXiv,English,,
