DataBase,Title,Abstract,Keywords,Authors,Year,DocumentType,PublicationTitle,DOI,Link,Affiliations,Publisher,Language,ISSN,ISBN
Scopus,Towards a Framework for Software Measurement Validation,"In this paper we propose a framework for validating software measurement. We start by defining a measurement structure model that identifies the elementary component of measures and the measurement process, and then consider five other models involved in measurement: unit definition models, instrumentation models, attribute relationship models, measurement protocols and entity population models. We consider a number of measures from the viewpoint of our measurement validation framework and identify a number of shortcomings; in particular we identify a number of problems with the construction of function points. We also compare our view of measurement validation with ideas presented by other researchers and identify a number of areas of disagreement. Finally, we suggest several rules that practitioners and researchers can use to avoid measurement problems, including the use of measurement vectors rather than artificially contrived scalars. © 1995 IEEE",Measurement theory; software measurement; software metrics validation,"Kitchenham B., Pfleeger S.L., Fenton N.",1995,Journal,IEEE Transactions on Software Engineering,10.1109/32.489070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937653154&doi=10.1109%2f32.489070&partnerID=40&md5=c7afab9740a9e74f706c5443297870e1,"National Computing Centre, Oxford House, Oxford Rd., Manchester M1 7ED, United Kingdom; Systems/Software, Inc., 4519 Davenport St. NW, Washington, DC 20016-4415, United States; Centre for Software Reliability, City University, Northampton Sq., London EC1V OHB, United Kingdom",,English,00985589,
Scopus,Understanding and Controlling Software Costs,"Understanding of software costs is important because of the overall magnitude of these costs (in 1985, roughly $70 billion per year in the U.S. and over $140 billion per year worldwide) and the fundamental impact software will have on our future quality of life. Section I of this paper discusses these issues. Section II, the main portion of the paper, discusses the two primary ways of understanding software costs. The “black-box” or influence-function approach provides useful experimental and observational insights on the relative software productivity and quality leverage of various management, technical, environmental, and personnel options. The “glass-box” or cost distribution approach helps identify strategies for integrated software productivity and quality improvement programs, via such structures as the value chain and the software productivity opportunity tree. The individual strategies for improving software productivity identified in Section II are: • writing less code; • getting the best from people; • avoiding rework; • developing and using integrated project support environments. Section II provides overall surveys of early and recent progress along these and other lines identified by the opportunity tree. Better understanding of software costs leads to better methods of controlling software project costs, and vice versa. Section III discusses these issues. It points out that a good framework of techniques exists for controlling software budgets, schedules, and work completed, but that a great deal of further progress is needed to provide an overall set of planning and control techniques covering software product qualities and end-user system objectives. © 1988 IEEE",Programming productivity; software costs; software engineering economics; software management; software metrics; software productivity,"Boehm B.W., Papaccio P.N.",1988,Journal,IEEE Transactions on Software Engineering,10.1109/32.6191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024089511&doi=10.1109%2f32.6191&partnerID=40&md5=165eaa3928343b2a27ebd12bb287294d,"TRW Inc., One Space Park, Redondo Beach, CA 90278, United States",,English,00985589,
Scopus,Product platform and product family design: Methods and applications,"Today's highly competitive and volatile marketplace is reshaping the way many companies do business. Rapid innovation and mass customization offer a new form of competitive advantage. In response, companies like Sony, Black & Decker, and Kodak have successfully implemented strategies to design and develop an entire family of products based on a common product platform to satisfy a wide variety of customer requirements and leverage economies of scale and scope. Designing products and product families so that they may be customized for the global marketplace and achieving these goals in an abbreviated time period, while maintaining mass production efficiencies, is the key to successful manufacturing operations. Research in this area has matured rapidly over the last decade, and ""Product Platform and Product Family Design: Methods and Applications"" discusses how product platform and product family design can be used successfully to:-Increase variety within a product line,-Shorten manufacturing lead times, an-Reduce overall costs within a product line. The material available here serves as both a reference and a hands-on guide for researchers and practitioners devoted to the design, planning and production of families of products. Included are real-life case studies that explain the benefits of platform-based product development. © 2006 Springer Science+Business Media, LLC. All rights reserved.",,"Simpson T.W., Siddique Z., Jiao J.",2006,Book,Product Platform and Product Family Design: Methods and Applications,10.1007/0-387-29197-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891977337&doi=10.1007%2f0-387-29197-0&partnerID=40&md5=42e8e17e0838377f64483befffd1d73e,"Pennsylvania State University, 329 Leonhard Building, University Park, PA 16802, United States; University of Oklahoma, School of Aerospace and Mechanical Engineering, 865 ASP Avenue, Norman, OK 73019, United States; Nanyang Technological University, School of Mechanical and Aeropace Engineering, Nanyang Avenue 50, Singapore 639798, Singapore",Springer US,English,,0387257217; 9780387257211
Scopus,A Simulation Study of the Model Evaluation Criterion MMRE,"The Mean Magnitude of Relative Error, MMRE, is probably the most widely used evaluation criterion for assessing the performance of competing software prediction models. One purpose of MMRE is to assist us to select the best model. In this paper, we have performed a simulation study demonstrating that MMRE does not always select the best model. Our findings cast some doubt on the conclusions of any study of competing software prediction models that used MMRE as a basis of model comparison. We therefore recommend not using MMRE to evaluate and compare prediction models. At present, we do not have any universal replacement for MMRE. Meanwhile, we therefore recommend using a combination of theoretical justification of the models that are proposed together with other metrics proposed in this paper.",Empirical software engineering; Mean magnitude of relative error; Prediction accuracy; Prediction models; Regression analysis; Simulation; Software cost estimation; Software engineering; Software metrics,"Foss T., Stensrud E., Kitchenham B., Myrtveit I.",2003,Journal,IEEE Transactions on Software Engineering,10.1109/TSE.2003.1245300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346896359&doi=10.1109%2fTSE.2003.1245300&partnerID=40&md5=7bbc5169e3f75eb61f41f9e3e3562fea,"Norwegian School of Management BI, Box 580, Elias Smiths vei 15, N-1301 Sandvika, Norway; Myrtveit og Stensrud ANS, Austliveien 30, 0752 Oslo, Norway; Department of Computer Science, Keele University, Keele, Staffordshire ST5 5BG, United Kingdom",,English,00985589,
Scopus,What accuracy statistics really measure,"The paper aims to provide the software estimation research community with a better understanding of the meaning of, and relationship between, two statistics that are often used to assess the accuracy of predictive models: the mean magnitude relative error, MMRE, and the number of predictions within 25% of the actuals, pred(25). It is demonstrated that MMRE and pred(25) are, respectively, measures of the spread and the kurtosis of the variable z where z=estimate/actual. Thus, z is considered to be a measure of accuracy, and statistics such as MMRE and pred(25) to be measures of properties of the distribution of z. It is suggested that measures of the central location and skewness of z, as well as measures of spread and kurtosis, are necessary. Furthermore, since the distribution of z is non-normal, non-parametric measures of these properties may be needed. For this reason, boxplots of z are useful alternatives to simple summary metrics. It is also noted that the simple residuals are better behaved than the z variable, and could also be used as the basis for comparing prediction systems.",,"Kitchenham B.A., Pickard L.M., MacDonell S.G., Shepperd M.J.",2001,Journal,IEE Proceedings: Software,10.1049/ip-sen:20010506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035381954&doi=10.1049%2fip-sen%3a20010506&partnerID=40&md5=af5290e06711ebc75d7de73f74f816ed,"Department of Computer Science, Keele University, Keele, ST5 5BG, United Kingdom",,English,14625970,
Scopus,Software Measurement: A Necessary Scientific Basis,"Software measurement, like measurement in any other discipline, must adhere to the science of measurement if it is to gain widespread acceptance and validity. The observation of some very simple, but fundamental, principles of measurement can have an extremely beneficial effect on the subject. Measurement theory is used to highlight both weaknesses and strengths of software metrics work, including work on metrics validation. We identify a problem with the well-known Weyuker properties, but also show that a criticism of these properties by Cherniavsky and Smith is invalid. We show that the search for general software complexity measures is doomed to failure. However, the theory does help us to define and validate measures of specific complexity attributes. Above all, we are able to view software measurement in a very wide perspective, rationalising and relating its many diverse activities. © 1994 IEEE.",complexity; empirical studies; measurement theory; metrics; Software measurement; validation,Fenton N.,1994,Journal,IEEE Transactions on Software Engineering,10.1109/32.268921,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028393055&doi=10.1109%2f32.268921&partnerID=40&md5=8463b2ebf1c9f851a68473ff38494a97,"Centre for Software Reliability, ECIV OHB, United Kingdom",,English,00985589,
Scopus,A systematic review of software fault prediction studies,"This paper provides a systematic review of previous software fault prediction studies with a specific focus on metrics, methods, and datasets. The review uses 74 software fault prediction papers in 11 journals and several conference proceedings. According to the review results, the usage percentage of public datasets increased significantly and the usage percentage of machine learning algorithms increased slightly since 2005. In addition, method-level metrics are still the most dominant metrics in fault prediction research area and machine learning algorithms are still the most popular methods for fault prediction. Researchers working on software fault prediction area should continue to use public datasets and machine learning algorithms to build better fault predictors. The usage percentage of class-level is beyond acceptable levels and they should be used much more than they are now in order to predict the faults earlier in design phase of software life cycle. © 2008 Elsevier Ltd. All rights reserved.",Automated fault prediction models; Expert systems; Machine learning; Method-level metrics; Public datasets,"Catal C., Diri B.",2009,Review,Expert Systems with Applications,10.1016/j.eswa.2008.10.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60249092995&doi=10.1016%2fj.eswa.2008.10.027&partnerID=40&md5=1b33c296012aa7543ffb5a35de959015,"The Scientific and Technological Research Council of Turkey, Marmara Research Center, Information Technologies Institute, Kocaeli, Turkey; Yildiz Technical University, Department of Computer Engineering, Istanbul, Turkey",,English,09574174,
Scopus,An attack surface metric,"Measurement of software security is a long-standing challenge to the research community. At the same time, practical security metrics and measurements are essential for secure software development. Hence, the need for metrics is more pressing now due to a growing demand for secure software. In this paper, we propose using a software system's attack surface measurement as an indicator of the system's security. We formalize the notion of a system's attack surface and introduce an attack surface metric to measure the attack surface in a systematic manner. Our measurement method is agnostic to a software system's implementation language and is applicable to systems of all sizes; we demonstrate our method by measuring the attack surfaces of small desktop applications and large enterprise systems implemented in C and Java. We conducted three exploratory empirical studies to validate our method. Software developers can mitigate their software's security risk by measuring and reducing their software's attack surfaces. Our attack surface reduction approach complements the software industry's traditional code quality improvement approach for security risk mitigation and is useful in multiple phases of the software development lifecycle. Our collaboration with SAP demonstrates the use of our metric in the software development process. © 2011 IEEE Published by the IEEE Computer Society.",Code design; Life cycle; Product metrics; Protection mechanisms; Risk mitigation; Software security,"Manadhata P.K., Wing J.M.",2011,Journal,IEEE Transactions on Software Engineering,10.1109/TSE.2010.60,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957876122&doi=10.1109%2fTSE.2010.60&partnerID=40&md5=214de44fc1906208ae84b99972a4b8a3,"Symantec Research Labs, 900 Corporate Pointe, Culver City, CA 90230, United States; Carnegie Mellon University, Computer and Information Science and Engineering Directorate, US National Science Foundation, 4201 Wilson Boulevard, Arlington, United States",,English,00985589,
Scopus,Managerial use of metrics for object-oriented software: An exploratory analysis,"-With the increasing use of object-oriented methods in new software development there is a growing need to both document and improve current practice in object-oriented design and development. In response to this need, a number of researchers have developed various metrics for object-oriented systems as proposed aids to the management of these systems. In this research an analysis of a set of metrics proposed by Chidamber and Kemerer [10is performed in order to assess their usefulness for practicing managers. First, an informal introduction to the metrics is provided by way of an extended example of their managerial use. Second, exploratory analyses of empirical data relating the metrics to productivity, rework effort, and design effort on three commercial object-oriented systems are provided. The empirical results suggest that the metrics provide significant explanatory power for variations in these economic variables, over and above that provided by traditional measures, such as size in lines of code, and after controlling for the effects of individual developers. ©1998 IEEE.",CBO; Design; DIT; Effort; LCOM; NOC; Object-orientation; Productivity; Programmer; Project management; Reuse; RFC; SLOG; Software metrics; WMC,"Chidamber S.R., Darcy D.P., Kemerer C.F.",1998,Journal,IEEE Transactions on Software Engineering,10.1109/32.707698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003233849&doi=10.1109%2f32.707698&partnerID=40&md5=19268a4b4fd9361663ba7930abbc0ace,"Advisory Board Co, 600 Hampshire Ave, Washington, DC 20037, United States",,English,00985589,
Scopus,Using mapping studies as the basis for further research - A participant-observer case study,"Context: We are strong advocates of evidence-based software engineering (EBSE) in general and systematic literature reviews (SLRs) in particular. We believe it is essential that the SLR methodology is used constructively to support software engineering research. Objective: This study aims to assess the value of mapping studies which are a form of SLR that aims to identify and categorise the available research on a broad software engineering topic. Method: We used a multi-case, participant-observer case study using five examples of studies that were based on preceding mapping studies. We also validated our results by contacting two other researchers who had undertaken studies based on preceding mapping studies and by assessing review comments related to our follow-on studies. Results: Our original case study identified 11 unique benefits that can accrue from basing research on a preceding mapping study of which only two were case specific. We also identified nine problems associated with using preceding mapping studies of which two were case specific. These results were consistent with the information obtained from the validation activities. We did not find an example of an independent research group making use of a mapping study produced by other researchers. Conclusion: Mapping studies can save time and effort for researchers and provide baselines to assist new research efforts. However, they must be of high quality in terms of completeness and rigour if they are to be a reliable basis for follow-on research. © 2010 Elsevier B.V. All rights reserved.",Case study; Mapping studies; Software engineering; Systematic literature review,"Kitchenham B.A., Budgen D., Pearl Brereton O.",2011,Journal,Information and Software Technology,10.1016/j.infsof.2010.12.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953724329&doi=10.1016%2fj.infsof.2010.12.011&partnerID=40&md5=a681727eb285f040d3b968199f73f3ba,"School of Computing and Mathematics, Keele University, Staffordshire ST5 5BG, United Kingdom; Durham University, South Road, Durham City, DH1 3LE, United Kingdom",,English,09505849,
Scopus,Cross versus within-company cost estimation studies: A systematic review,"The objective of this paper is to determine under what circumstances individual organizations would be able to rely on cross-company-based estimation models. We performed a systematic review of studies that compared predictions from cross-company models with predictions from within-company models based on analysis of project data. Ten papers compared cross-company and within-company estimation models; however, only seven presented independent results. Of those seven, three found that cross-company models were not significantly different from within-company models, and four found that cross-company models were significantly worse than within-company models. Experimental procedures used by the studies differed making it impossible to undertake formal meta-analysis of the results. The main trend distinguishing study results was that studies with small within-company data sets (i.e., ≤20 projects) that used leave-one-out cross validation all found that the within-company model was significantly different (better) from the cross-company model. The results of this review are inconclusive. It is clear that some organizations would be ill-served by cross-company models whereas others would benefit. Further studies are needed, but they must be independent (i.e., based on different data bases or at least different single company data sets) and should address specific hypotheses concerning the conditions that would favor cross-company or within-company models. In addition, experimenters need to standardize their experimental procedures to enable formal meta-analysis, and recommendations are made in Section 3. © 2007 IEEE.",Cost estimation; Management; Software engineering; Systematic review,"Kitchenham B.A., Mendes E., Travassos G.H.",2007,Review,IEEE Transactions on Software Engineering,10.1109/TSE.2007.1001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247611323&doi=10.1109%2fTSE.2007.1001&partnerID=40&md5=a0220b724f2497a1dd7566e8b9e35e7d,"School of Computing and Mathematics, University of Keele, Keele Village, Staffordshire ST5 5BG, United Kingdom; Computer Science Department, University of Auckland, Private Bag 92019, Auckland, New Zealand; UFRJ/COPPE, Systems Engineering and Computer Science Program, PO Box 68511, 21941-972 Rio de Janeiro, RJ, Brazil",,English,00985589,
