"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Business impact, benefit, and cost of applying GQM in industry: an in-depth, long-term investigation at Schlumberger RPS","A. Birk; R. van Solingen; J. Jarvinen","Fraunhofer IESE, Kaiserslautern, Germany; NA; NA","Proceedings Fifth International Software Metrics Symposium. Metrics (Cat. No.98TB100262)","6 Aug 2002","1998","","","93","96","Many success stories have been reported on specific effects of measurement, but little is known about the multiple interactions of measurement programmes with the business environment of a software organisation. This paper summarises industrial experiences with the Goal/Question/Metric (GQM) approach to software engineering measurement. They are based on long-term observation and additional detailed investigations at Schlumberger RPS. The paper reports the business impact of GQM in terms of identified benefit, cost models, and factors for successful application of GQM.","","0-8186-9201-4","10.1109/METRIC.1998.731231","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=731231","","Software measurement;Gain measurement;Programming;Electronics industry;Industrial electronics;Computer industry;Software engineering;Capability maturity model;Application software;Petroleum","business data processing;cost-benefit analysis;software metrics;software cost estimation","business impact;cost benefit analysis;GQM;Schlumberger RPS;measurement programmes;software organisation;Goal Question Metric;software engineering measurement","","11","","16","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Effect of Variations in Measurement Process for Software Development Efforts","B. K. Singh; A. Punhani; G. P. Singh; A. K. Misra","Deptt. of Comput. Sci. & Eng., RBS Coll., Agra, India; Deptt. of Comput. Sci. & Eng., RBS Coll., Agra, India; Deptt. of Comput. Sci. & Eng., Shivdan Singh Eng. Coll., Aligarh, India; Deptt. of Comput. Sci. & Eng., MNNIT Allahabad, Allahabad, India","2014 6th International Conference on Multimedia, Computer Graphics and Broadcasting","29 Jan 2015","2014","","","3","8","Researchers have proposed that the reliability of software prediction models can be assessed by the following most widely used evaluation criterion, i.e., Difference Measure and Ratio Measure. Ratio measure is more suitable for the assessment of the accuracy in software cost estimation. Results in this research demonstrated that applying proposed method to the software effort estimation is by far the most feasible approach for addressing the problem of apprehension and ambiguity existing in software effort drivers. Small adjustments to the COCOMO cost drivers bring significant improvements to the quality criteria applied to the proposed approach.","","978-1-4799-7764-2","10.1109/MulGraB.2014.8","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7024246","Software Effort Estimation;COCOMO;Non Algorithmic Models;Genetic Algorithm;Evaluation Criterion","NASA;Mathematical model;Estimation;Software;Equations;Computational modeling;Biological cells","device drivers;software cost estimation;software metrics;software performance evaluation;software reliability","measurement process;software development effort;software prediction model;software reliability;evaluation criterion;difference measure;ratio measure;software cost estimation;software effort driver;COCOMO cost driver;quality criteria","","3","","16","","29 Jan 2015","","","IEEE","IEEE Conferences"
"The Effect of Highlighting Error Categories in FSM Training on the Accuracy of Measurement","A. M. Ertugrul; G. Yilmaz; M. Salmanoglu; O. Demirörs",NA; NA; NA; NA,"2014 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement","5 Jan 2015","2014","","","152","156","As various software management activities including cost estimation and project control are conducted based on the software size measurement, achieving high accuracy in functional size measurement (FSM) is critical. Several studies examined the relation between FSM training and improvement in the accuracy of FSM. However, those studies propose comprehensive frameworks and approaches that require fundamental changes in the training content. In this study, we analyzed the effect of highlighting error categories during training by extracting the errors throughout four years. We showed that, highlighting the frequent error categories during the same training period without a fundamental change in the content would significantly decrease the error rate. The results of the research we conducted are promising about the improvement of measurement accuracy.","","978-1-4799-4174-2","10.1109/IWSM.Mensura.2014.21","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7000094","Highlighting Error Categories;Functional Size Measurement;Accuracy","Size measurement;Software measurement;Software;Education;Software reliability;Joints","project management;software cost estimation;software management;software metrics","error categories;FSM training;measurement accuracy;software management activities;software cost estimation;project control;software size measurement;functional size measurement;error extraction","","","","14","","5 Jan 2015","","","IEEE","IEEE Conferences"
"Algorithmic cost estimation for software evolution","J. F. Ramil","Dept. of Comput., Imperial Coll. of Sci., Technol. & Med., London, UK","Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium","6 Aug 2002","2000","","","701","703","The study addresses the problem of cost estimation in the context of software evolution by building a set of quantitative models and assessing their predictive power. The models aim at capturing the relationship between effort, productivity and a suite of metrics of software evolution extracted from empirical data sets.","0270-5257","1-58113-206-9","10.1145/337180.337587","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=870473","","Software algorithms;Costs;Productivity;Software maintenance;Processor scheduling;Aging;Context modeling;Predictive models;Data mining;Monitoring","software cost estimation;software metrics;software maintenance","algorithmic cost estimation;software evolution;quantitative models;predictive power;productivity;metrics;empirical data sets","","2","","19","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Software productivity measurement using multiple size measures","B. Kitchenham; E. Mendes","Nat. ICT Australia, Alexandria, NSW, Australia; NA","IEEE Transactions on Software Engineering","10 Jan 2005","2004","30","12","1023","1035","Productivity measures based on a simple ratio of product size to project effort assume that size can be determined as a single measure. If there are many possible size measures in a data set and no obvious model for aggregating the measures into a single measure, we propose using the expression AdjustedSize/Effort to measure productivity. AdjustedSize is defined as the most appropriate regression-based effort estimation model, where all the size measures selected for inclusion in the estimation model have a regression parameter significantly different from zero (p<0.05). This productivity measurement method ensures that each project has an expected productivity value of one. Values between zero and one indicate lower than expected productivity, values greater than one indicate higher than expected productivity. We discuss the assumptions underlying this productivity measurement method and present an example of its use for Web application projects. We also explain the relationship between effort prediction models and productivity models.","1939-3520","","10.1109/TSE.2004.104","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1377195","Index Terms- Software productivity measurement;software cost estimation.","Size measurement;Software measurement;Productivity;Predictive models;Costs;Equations;Computer science;Computer Society;Application software;Production","software cost estimation;software metrics;productivity;project management;regression analysis","software productivity measurement;software cost estimation;product size;project effort;regression-based effort estimation;parameter estimation","","71","","27","","10 Jan 2005","","","IEEE","IEEE Journals"
"Overcoming the challenges in cost estimation for distributed software projects","N. Ramasubbu; R. K. Balan","School of Information Systems, Singapore Management University, Singapore; School of Information Systems, Singapore Management University, Singapore","2012 34th International Conference on Software Engineering (ICSE)","28 Jun 2012","2012","","","91","101","We describe how we studied, in-situ, the operational processes of three large high process maturity distributed software development companies and discovered three common problems they faced with respect to early stage project cost estimation. We found that project managers faced significant challenges to accurately estimate project costs because the standard metrics-based estimation tools they used (a) did not effectively incorporate diverse distributed project configurations and characteristics, (b) required comprehensive data that was not fully available for all starting projects, and (c) required significant domain experience to derive accurate estimates. To address these challenges, we collaborated with practitioners at the three firms and developed a new learning-oriented and semi-automated early-stage cost estimation solution that was specifically designed for globally distributed software projects. The key idea of our solution was to augment the existing metrics-driven estimation methods with a case repository that stratified past incidents related to project effort estimation issues from the historical project databases at the firms into several generalizable categories. This repository allowed project managers to quickly and effectively “benchmark” their new projects to all past projects across the firms, and thereby learn from them. We deployed our solution at each of our three research sites for real-world field-testing over a period of six months. Project managers of 219 new large globally distributed projects used both our method to estimate the cost of their projects as well as the established metrics-based estimation approaches they were used to. Our approach achieved significantly reduced estimation errors (of up to 60%). This resulted in more than 20% net cost savings, on average, per project - a massive total cost savings across all projects at the three firms!","1558-1225","978-1-4673-1067-3","10.1109/ICSE.2012.6227203","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6227203","Globally distributed software development;software engineering economics;cost estimation;case-based reasoning;analogies;project management;learning","Estimation;Software;Measurement;Benchmark testing;Companies;Cognition;Databases","project management;software cost estimation;software metrics","distributed software development companies;early stage project cost estimation;standard metrics-based estimation tools;learning-oriented early-stage cost estimation;semiautomated early-stage cost estimation;globally distributed software projects;project effort estimation;historical project databases","","18","","31","","28 Jun 2012","","","IEEE","IEEE Conferences"
"A Metric of Software Size as a Tool for IT Governance","M. V. B. D. Castro; C. A. M. Hernandes","NA; Tribunal de Contas da Uniao (TCU), Brasilia, Brazil","2013 27th Brazilian Symposium on Software Engineering","21 Apr 2014","2013","","","99","108","This paper proposes a new metric for software functional size, which is derived from Function Point Analysis (FPA), but overcomes some of its known deficiencies. The statistical results show that the new metric, Functional Elements (EF), and its sub metric, Functional Elements of Transaction (EFt), have higher correlation with the effort in software development than FPA in the context of the analyzed data. The paper illustrates the application of the new metric as a tool to improve IT governance specifically in assessment, monitoring, and giving directions to the software development area.","","978-0-7695-5165-4","10.1109/SBES.2013.13","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6800186","Function Points;IT governance;IT performance;Software engineering;Software metrics","Complexity theory;Software;Size measurement;Maintenance engineering;Software metrics","software cost estimation;software metrics","software functional size metric;IT governance;function point analysis;FPA;functional elements of transaction;EFt;software development area","","2","","49","","21 Apr 2014","","","IEEE","IEEE Conferences"
"Evaluation and application of complexity-based criticality models","C. Ebert","Switching Syst. Div., Alcatel, Stuttgart, Germany","Proceedings of the 3rd International Software Metrics Symposium","6 Aug 2002","1996","","","174","185","Cost-effective software project management has the serious need to focus resources on those areas with highest criticality. Identifying such components in advance that need high development effort or that are likely to produce many failures during operation and assigning additional design or corrective effort is one approach for effective resource allocation. Complexity metrics are applied during the development of large telecommunication software in order to identify high risk components and to tailor reliability growth models. Five classification techniques (Pareto classification, classification trees, factor-based discriminant analysis, fuzzy classification, neural networks) are compared for identifying critical components. For testing and maintenance phases we combined this approach with tailored reliability growth models. Results from a current large-scale switching project are included to show practical benefits.","","0-8186-7365-6","10.1109/METRIC.1996.492454","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=492454","","Classification tree analysis;Telecommunication network reliability;Application software;Project management;Resource management;Pareto analysis;Fuzzy neural networks;Neural networks;Testing;Maintenance","software metrics;software cost estimation;software development management;project management;telecommunication computing;software reliability;pattern classification;program testing;software maintenance","complexity-based criticality models;cost-effective software project management;software failures;software design;resource allocation;complexity metrics;telecommunication software;reliability growth models;Pareto classification;classification trees;factor-based discriminant analysis;fuzzy classification;neural networks;software testing;software maintenance;large-scale switching project","","10","","22","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Are the principal components of software complexity data stable across software products?","T. M. Khoshgoftaar; D. L. Lanning","Dept. of Comput. Sci. & Eng., Florida Atlantic Univ., Boca Raton, FL, USA; NA","Proceedings of 1994 IEEE 2nd International Software Metrics Symposium","6 Aug 2002","1994","","","61","72","The current software market is not suitable for organizations that place competitive bids, set schedules, or control projects without regard to past performance. Software quality models based upon data collected from past projects can help engineers to estimate costs of future development efforts, and to control ongoing efforts. Application of principal components analysis can improve the stability and predictive quality of software quality models. However, models based upon principal components are only appropriate for application to products having similar principal components. We apply a statistical technique for quantifying the similarity of principal components. We find that distinct but similar products developed by the same organization can share similar principal components, and that distinct products developed by distinct organizations will likely have dissimilar principal components.<>","","0-8186-5865-7","10.1109/METRIC.1994.344227","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=344227","","Software quality;Data engineering;Application software;Stability;Programming;Software testing;Computer science;Processor scheduling;Costs;Digital TV","software quality;software cost estimation;software metrics","software complexity data;software products;software market;organizations;competitive bids;control projects;set schedules;software quality models;cost estimation;principal components analysis;statistical technique","","6","","22","","6 Aug 2002","","","IEEE","IEEE Conferences"
"The application of case-based reasoning to early Web project cost estimation","E. Mendes; N. Mosley; S. Counsell","Dept. of Comput. Sci., Auckland Univ., New Zealand; Dept. of Comput. Sci., Auckland Univ., New Zealand; Dept. of Comput. Sci., Auckland Univ., New Zealand","Proceedings 26th Annual International Computer Software and Applications","10 Dec 2002","2002","","","393","398","Literature shows that over the years numerous techniques for estimating development effort have been suggested, derived from late project measures. However, to the successful management of software projects, estimates are necessary throughout the whole development life cycle. The objective is twofold. First, we describe the application of case-based reasoning (CBR) for estimating Web hypermedia development effort using measures collected at different stages in the development cycle. Second, we compare the prediction accuracy of those measures, obtained using different CBR configurations. Contrary to the expected, late measures did not show statistically significant better predictions than early measures.","0730-3157","0-7695-1727-7","10.1109/CMPSAC.2002.1045034","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1045034","","Costs;Application software;Accuracy;Life estimation;Phase measurement;Computer science;Project management;Software development management;Software engineering;Navigation","case-based reasoning;information resources;Internet;software cost estimation;project management;software metrics;hypermedia;software development management","case-based reasoning;Web project cost estimation;software development effort estimation;Web hypermedia development;software measures;software metrics;software project management;software development life cycle","","21","","38","","10 Dec 2002","","","IEEE","IEEE Conferences"
"How valuable is company-specific data compared to multi-company data for software cost estimation?","I. Wieczorek; M. Ruhe","Fraunhofer Inst. for Exp. Software Eng., Kaiserslautern, Germany; NA","Proceedings Eighth IEEE Symposium on Software Metrics","7 Aug 2002","2002","","","237","246","This paper investigates the pertinent question whether multi-organizational data is valuable for software project cost estimation. Local, company-specific data is widely believed to provide a better basis for accurate estimates. On the other hand, multi-organizational databases provide an opportunity for fast data accumulation and shared. information benefits. Therefore, this paper trades off the potential advantages and drawbacks of using local data as compared to multi-organizational data. Motivated by the results from previous investigations, we further analyzed a large cost database from Finland that collects standard cost factors and includes information on six individual companies. Each of these companies provided data for more than ten projects. This information was used to compare the accuracy between company-specific (local) and company-external (global) cost models. They show that company-specific models seem not to yield better results than the company external models. Our results are based on applying two standard statistical estimation methods (OLS-regression, analysis of variance) and analogy-based estimation.","1530-1435","0-7695-1339-5","10.1109/METRIC.2002.1011342","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1011342","","Costs;Electrical capacitance tomography;Databases;Software quality;Software engineering;Computer science;Read only memory;Statistical analysis;Analysis of variance;Monitoring","software cost estimation;software development management;statistical analysis","company-specific data;multiple company data;software cost estimation;multiple-organizational data;cost factors;cost models;statistical estimation methods;data set description","","22","","28","","7 Aug 2002","","","IEEE","IEEE Conferences"
