"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Developing a design complexity measure","K. Littlejohn; M. Olis; R. Lentz; M. Barnett","Wright Res. & Dev. Center, Wright-Patterson AFB, OH, USA; NA; NA; NA","15th DASC. AIAA/IEEE Digital Avionics Systems Conference","6 Aug 2002","1996","","","31","36","The cost to develop and maintain software is increasing at a rapid rate. The majority of the total cost to develop software is spent in the post-deployment-maintenance phase of the software life-cycle. In order to reduce life-cycle costs, more effort needs to be spent in earlier phases of the software life-cycle. One characteristic that merits investigation is the complexity of a software design. Project performance metrics (i.e. effort, schedule, defect density, etc.) are driven by software complexity, and affect project costs. The Software Design Complexity Measure examines an organization's historical project performance metrics along with the complexity of a project's software design to estimate future project performance metrics. These estimates indicate costs that the evaluated software design will incur in the future. Equipped with future cost estimates, a project manager will be able to make more informed decisions concerning the future of the project.","","0-7803-3385-3","10.1109/DASC.1996.559130","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=559130","","Aerospace electronics;Software design;Costs;Phase measurement;Software maintenance;Software measurement;Variable speed drives;Hardware;Software performance;Project management","software cost estimation;software metrics;project management","design complexity;cost;post-deployment-maintenance;software life-cycle;research planning;project performance metrics;schedule;defect density;effort;prototype;software design;project manager","","1","","3","","6 Aug 2002","","","IEEE","IEEE Conferences"
"FPA and Quality Metrics in Contracts","H. v. Heeringen; H. Kuijpers; R. Scholten; F. S. Uiterkamp; D. Müller; J. Onvlee; H. Bernink; M. Pereboom",NA; NA; NA; NA; NA; NA; NA; NA,"2014 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement","5 Jan 2015","2014","","","171","172","Outsourcing software development projects continues to be a very difficult task for many organizations. They struggle with the questions they should ask in the 'Request for Proposal (RFP)' phase. These organizations wish to find the questions that enable them to compare the bidding suppliers in an objective, yet meaningful way and they wish to select the right supplier based on this comparison. In practice, the industry sees many RFP's that seem to comply to this goal, but when looked into a little detailed, it becomes obvious that in many cases the comparison is not objective and meaningful at all and even that in many cases the wrong supplier is selected, often resulting in failing projects. Repeatedly, suppliers argue with client organizations about the objective reasoning for missed offers and sometimes they even start legal actions.","","978-1-4799-4174-2","10.1109/IWSM.Mensura.2014.40","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7000098","Outsourcing;FPA;Contracting","Measurement;Contracts;Organizations;Software;Maintenance engineering;Conferences;Proposals","contracts;outsourcing;software cost estimation;software metrics;software quality","FPA;quality metrics;contracts;software development project outsourcing;request for proposal phase;RFP phase","","","","","","5 Jan 2015","","","IEEE","IEEE Conferences"
"Analyzing Data on Software Evolution Processes","H. M. Sneed; W. Prentner","ZT-Prentner-IT GmbH, Vienna, Austria; ZT-Prentner-IT GmbH, Vienna, Austria","2016 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM-MENSURA)","9 Jan 2017","2016","","","1","10","This paper describes a tool supported process for evaluating software evolution processes using data analytics. Software evolution is concerned with correcting, changing and enhancing existing software systems. The evolution process is driven by error reports and change requests. The ISO-12207 standard prescribes how the process should be conducted. The approach presented here goes beyond simply checking if the process under investigation conforms to the prevailing standard. It collects data on the numbers and types of evolution requests as well as data on the time and effort required to implement them to determine if the evolution process is improving or degrading. For this, the error reports, change requests and time sheets are scanned to load a process performance database. There a numerical analysis is performed to measure the error and change rates for assessing process quality. Performance and usability data are also included in the quality assessment. In addition, the expended effort is analyzed in relation to the impact domain of the corrections and changes to determine the productivity rate. The number of reported errors and submitted change requests is essential to estimating the costs of future releases.","","978-1-5090-4147-3","10.1109/IWSM-Mensura.2016.013","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7809585","Software Evolution;Process measurement;Process assessment;numeric data analysis;product quality and complexity;productivity measurement;evolution cost projection","Software;Software measurement;Process control;Standards;Capability maturity model;Quality assessment;Productivity","data analysis;ISO standards;numerical analysis;software cost estimation;software metrics;software performance evaluation;software process improvement;software quality","metric-based process assessment;software evolution processes evaluation;data analytics;ISO-12207 standard;error reports;change requests;time sheets;process performance database;numerical analysis;error measure;process quality assessment;usability data;quality assessment;productivity rate determination;cost estimation","","1","","36","","9 Jan 2017","","","IEEE","IEEE Conferences"
"A reuse metrics and return on investment model","J. S. Poulin; J. M. Caruso",NA; NA,"[1993] Proceedings Advances in Software Reuse","6 Aug 2002","1993","","","152","166","It is argued that establishing a realistic return on investment on a reuse program is essential to inserting reuse into a corporate software development process, and that clearly stating the potential benefits of reuse in financial terms has proven to be a powerful motivator. A reuse metrics and return on investment (ROI) model that distinguish the savings and benefits from those already gained through accepted software engineering techniques are defined. Three reuse metrics are derived from readily available and observable software data elements. The metrics are used in the return on investment model to establish sound business justification for reuse.<>","","0-8186-3130-9","10.1109/ASR.1993.291707","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=291707","","Investments;Costs;System software;Software engineering;Programming;Software metrics;Inhibitors;Productivity;Statistics;Standards development","software cost estimation;software metrics;software reusability","reuse metrics;return on investment;corporate software development process;financial terms;ROI;savings;benefits;software engineering techniques;software data elements","","17","","26","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Determination of functional domains for use with functional size measurement-opportunities to classify software from a business perspective","C. A. Dekkers","Quality Plus Technol. Inc., Seminole, FL, USA","Proceedings 4th IEEE International Software Engineering Standards Symposium and Forum (ISESS'99). 'Best Software Practices for the Internet Age'","6 Aug 2002","1999","","","227","229","Functional size measurement (FSM) is the focus of ISO/IEC Project 14143. This project has five parts, ranging from the recently published Part 1 (""Concepts of FSM"") to Part 5 (""Determination of Functional Domains for Use with FSM""), which is in development as a Technical Report Type 2 (TR2). This paper outlines the basic principles of FSM and why the functional domain concept has been seen as important to the overall project success. It covers the rationale behind this sub-project, its relevance to the software engineering world and how the functional domain topic extends far beyond the realm of simple FSM. The paper profiles the state of the software industry today and how the classifications of software in modern literature are insufficient for the needs of FSM. The current state of this TR2-in-progress is also presented, together with the various opinions of the international community involved in its development.","1082-3670","0-7695-0068-4","10.1109/SESS.1999.766598","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=766598","","Size measurement;Embedded software;Software measurement;Computer industry;IEC standards;Measurement units;Software performance;Software quality;ISO;Writing","software cost estimation;software standards;ISO standards;software metrics;classification;commerce","functional domain determination;functional size measurement;software classification;business perspective;ISO/IEC Project 14143;Technical Report Type 2;software engineering;software industry;international community opinions","","","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Reducing cost in regression testing of web service","A. Chaturvedi","Indian Institute of Information Technology, Design and Manufacturing Jabalpur","2012 CSI Sixth International Conference on Software Engineering (CONSEG)","10 Nov 2012","2012","","","1","9","Regression testing and retesting of a modified Web Service can be very costly as it tends to generates large number of test cases. Regression testing cost can be reduced significantly by identifying and testing the modified portion of the Web Service only. This avoids the costly construction of new test cases and the unproductive rerunning of existing test cases when it can be guaranteed that the unmodified code of web service will produce the same results as it produced previously. In this paper, by designing Web service graph we propose an effective method of identifying the modified areas (in this paper area means code of web service to be tested) and use this information to reduce regression testing efforts. In this process, we define and use a set of metrics to categorize the testing of Web service. We demonstrate the applicability of the proposed approach using a case study that consisted of two steps. In the first step, we compared two versions of WSDL's to identify the inserted, modified and deleted areas of the Web services. Next, we use this information to generate the reduced test cases.","","978-1-4673-2177-8","10.1109/CONSEG.2012.6349498","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6349498","Regression testing;web service;XML Diff;WSDL","Testing;XML;Color;Measurement;Indexes;Simple object access protocol","program testing;regression analysis;software cost estimation;software metrics;Web services","regression retesting cost reduction;test case generation;regression testing cost reduction;Web service unmodified code;Web service graph design;software metrics;Web service inserted area identification;Web service modified area identification;Web service deleted area identification","","4","","24","","10 Nov 2012","","","IEEE","IEEE Conferences"
"A metrics-based software maintenance effort model","J. H. Hayes; S. C. Patel; L. Zhao","Dept. of Comput. Sci., Kentucky Univ., Lexington, KY, USA; NA; NA","Eighth European Conference on Software Maintenance and Reengineering, 2004. CSMR 2004. Proceedings.","24 Aug 2004","2004","","","254","258","We derive a model for estimating adaptive software maintenance effort in person hours, the adaptive maintenance effort model (AMEffMo). A number of metrics such as lines of code changed and number of operators changed were found to be strongly correlated to maintenance effort. The regression models performed well in predicting adaptive maintenance effort as well as provide useful information for managers and maintainers.","1534-5351","0-7695-2107-X","10.1109/CSMR.2004.1281427","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1281427","","Software maintenance;Costs;Software systems;Computer science;Predictive models;Programming;Information management;Software design;Software performance;Software development management","software maintenance;software metrics;software cost estimation","metrics-based software maintenance;adaptive maintenance effort model;software cost estimation","","27","","30","","24 Aug 2004","","","IEEE","IEEE Conferences"
"Detecting Clones in Business Applications","J. Guo; Y. Zou","Sch. of Comput. Queen's, Univ. Kingston, Kingston, ON; Sch. of Comput. Queen's, Univ. Kingston, Kingston, ON","2008 15th Working Conference on Reverse Engineering","24 Oct 2008","2008","","","91","100","A business application automates a collection of business processes. A business process describes how a set of logically related tasks are executed, ordered and managed by following business rules to achieve business objectives. An online bookstore business application contains several tasks such as buying a book, ordering a book, and sending out promotions. Business analysts specify business tasks and software developers implement these tasks. Throughout the lifetime of a business application, business analysts may clone (e.g., copy and slightly modify) business processes to handle special circumstances or promotions. Identifying these clones and removing them helps improve the efficiency of an organization. However most clone detection techniques are source code based not business process based. In this paper, we propose an approach that makes use of traditional source code detection techniques to detect clones in business applications. The effectiveness of our approach is demonstrated through a case study on 10 large open source business applications in the Apache Open for Business Project.","2375-5369","978-0-7695-3429-9","10.1109/WCRE.2008.12","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4656398","Clone detections;Business proecesses;Business applications","Business;Cloning;Books;XML;Organizations;HTML;Data mining","electronic commerce;retail data processing;software cost estimation;software maintenance;software metrics","clone detection techniques;business process;business objective;online bookstore business application;software developer;source code;e-commerce application;software maintenance effort cost reduction;software metrics","","3","","32","","24 Oct 2008","","","IEEE","IEEE Conferences"
"Using fuzzy theory for effort estimation of object-oriented software","M. R. Braz; S. R. Vergilio","Comput. Sci. Dept., Fed. Univ. of Parana, Curitiba, Brazil; Comput. Sci. Dept., Fed. Univ. of Parana, Curitiba, Brazil","16th IEEE International Conference on Tools with Artificial Intelligence","10 Jan 2005","2004","","","196","201","Estimating software effort and costs is a very important activity that includes very uncertain elements. The concepts of the fuzzy set theory has been successfully used for extending metrics such as FP and reducing human influence in the estimation process. However, when we consider object-oriented technologies, other models, such as the use case model, are used to represent the specification in the early stages of development. New metrics based on this model were proposed and the application of the fuzzy set theory in this context is also very important. This work introduces the metric FUSP (fuzzy use case size points) that allows gradual classifications in the estimation by using fuzzy numbers. Results of a study case show some advantages and limitations of the proposed metric.","1082-3409","0-7695-2236-X","10.1109/ICTAI.2004.119","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1374187","","Estimation theory;Object oriented modeling;Fuzzy set theory;Costs;Computer science;Humans;Context modeling;Uncertainty;Fuzzy systems;Lab-on-a-chip","fuzzy set theory;software cost estimation;software metrics;object-oriented methods;software quality","object-oriented software;software estimation;fuzzy set theory;use case model;software metrics;fuzzy use case size points","","9","","14","","10 Jan 2005","","","IEEE","IEEE Conferences"
"Analyzing the cost and benefit of pair programming","F. Padberg; M. M. Muller","Fak. fur Inf., Karlsruhe Univ., Germany; Fak. fur Inf., Karlsruhe Univ., Germany","Proceedings. 5th International Workshop on Enterprise Networking and Computing in Healthcare Industry (IEEE Cat. No.03EX717)","23 Sep 2003","2003","","","166","177","We use a combination of metrics to understand, model, and evaluate the impact of pair programming on software development. Pair programming is a core technique in the hot process paradigm of extreme programming. At the expense of increased personnel cost, pair programming aims at increasing both the team productivity and the code quality as compared to conventional development. In order to evaluate pair programming, we use metrics from three different categories: process metrics such as the pair speed advantage of pair programming; product metrics such as the module breakdown structure of the software; and project context metrics such as the market pressure. The pair speed advantage is a metric tailored to pair programming and measures how much faster a pair of programmers completes programming tasks as compared to a single developer. We integrate the various metrics using an economic model for the business value of a development project. The model is based on the standard concept of net present value. If the market pressure is strong, the faster time to market of pair programming can balance the increased personnel cost. For a realistic sample project, we analyze the complex interplay between the various metrics integrated in our model. We study for which combinations of the market pressure and pair speed advantage the value of the pair programming project exceeds the value of the corresponding conventional project. When time to market is the decisive factor and programmer pairs are much faster than single developers, pair programming can increase the value of a project, but there also are realistic scenarios where the opposite is true. Such results clearly show that we must consider metrics from different categories in combination to assess the cost-benefit relation of pair programming.","1530-1435","0-7695-1987-3","10.1109/METRIC.2003.1232465","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1232465","","Cost benefit analysis;Programming profession;Personnel;Productivity;Time to market;Electric breakdown;Velocity measurement;Displays;Keyboards;Mice","software metrics;cost-benefit analysis;software cost estimation;economics;time to market","software metrics;pair programming;extreme programming;net present value;cost benefit analysis;software development;product metrics;process metrics;module breakdown structure;project context metrics;market pressure;pair speed advantage;economic model;business value;time to market","","22","","14","","23 Sep 2003","","","IEEE","IEEE Conferences"
"SRS Based Estimation of Software Maintenance Effort","A. Tripathi; B. Kumar; A. Sharma; D. S. Kushwaha",NA; NA; NA; NA,"2012 Third International Conference on Computer and Communication Technology","10 Jan 2013","2012","","","154","155","Software maintenance effort estimation has always been a challenge for the software practitioners, as it consumes about half of the overall development costs. The effort required to develop or maintain software depend on the complexity of yet to be developed software. The proposed measure estimates the requirement-based complexity based on SRS document of yet to be developed software for systematic and early prediction of software maintenance effort using Software Requirements Specifications (SRS) document of the proposed software. The result obtained validates that, the proposed maintenance measure is a comprehensive one and compares well with various other prevalent measures proposed in the past. The computation of proposed maintenance effort estimation involves least overhead as compared to others.","","978-1-4673-3149-4","10.1109/ICCCT.2012.38","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6394686","requirement based complexity;requirement based maintenance complexity;requirement based maintenance effort estimation","Maintenance engineering;Complexity theory;Estimation;Productivity;Software maintenance;Software measurement","formal specification;software cost estimation;software maintenance;software metrics","SRS based estimation;software maintenance effort estimation;requirement-based complexity;SRS document;software requirement specifications;SRS","","","","10","","10 Jan 2013","","","IEEE","IEEE Conferences"
"An assessment of halstead and COCOMO model for effort estimation","C. Thirumalai; R. R. Shridharshan; L. R. Reynold","School of Information Technology and Engineering, VIT University, Vellore, India; MS in Software Engineering, School of Information Technology and Engineering, VIT University, Vellore, India; MS in Software Engineering, School of Information Technology and Engineering, VIT University, Vellore, India","2017 Innovations in Power and Advanced Computing Technologies (i-PACT)","4 Jan 2018","2017","","","1","4","This paper portrays a utilization of Maurice Halstead's product hypothesis' effect on modern programming languages like Python. The Halstead Metric and the product apparatus created for registering them are examined. Investigation of the metric information demonstrates that the level of the exchanging dialect was not consistent crosswise over algorithms and that product blunder information was not a straight capacity of volume. We also benchmark Halstead Metric against COCOMO II with respect to the accuracy of effort estimation.","","978-1-5090-5682-8","10.1109/IPACT.2017.8245069","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8245069","Halstead metric;COCOMO model;comparison;effort metric","Measurement;Programming;Complexity theory;Computer languages;Correlation;Conferences;Technological innovation","high level languages;project management;software cost estimation;software metrics","COCOMO model;halstead model;Halstead Metric;COCOMO II;product blunder information;exchanging dialect;effort estimation;Maurice Halstead's product hypothesis;modern programming languages;Python;product apparatus;metric information","","5","","34","","4 Jan 2018","","","IEEE","IEEE Conferences"
"Adapting the SIMAP productivity model to software maintenance","D. Dery; A. Abran","Quebec Univ., Montreal, Que., Canada; Quebec Univ., Montreal, Que., Canada","Proceedings 1995 Canadian Conference on Electrical and Computer Engineering","6 Aug 2002","1995","2","","1038","1041 vol.2","Industrial production firms have over time developed tools and models to ensure that productivity is measured and understood. This article suggests the use of such a model, the SIMAP model, for software maintenance. This article also shows how data could be organized and categorized in order to fully benefit from the SIMAP productivity model.","0840-7789","0-7803-2766-7","10.1109/CCECE.1995.526607","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=526607","","Productivity;Software maintenance;Computer industry;Software measurement;Costs;Software development management;Production;Time measurement;Portfolios;Information systems","software maintenance;software tools;software metrics;software cost estimation;human resource management","SIMAP productivity model;software maintenance;industrial production firms;software tools;software productivity measurement;software cost","","","","6","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Backfiring: converting lines of code to function points","C. Jones","Software Productivity Res. Inc., Burlington, MA, USA","Computer","6 Aug 2002","1995","28","11","87","88","The availability of empirical data from projects that use both function-point and lines-of-code metrics has led to a useful technique called backfiring. Backfiring is the direct mathematical conversion of LOC data into equivalent function-point data. Because the backfiring equations are bidirectional, they also provide a powerful way of sizing, or predicting, source-code volume for any known programming language or combination of languages. The function-point metric, invented by A.J. Albrecht of IBM in the middle 1970s, is a synthetic metric derived by a weighted formula that includes five elements: inputs, outputs, logical files, inquiries, and interfaces. IBM put it into the public domain in 1979, and its use spread rapidly, particularly after the formation of the International Function Point Users Group (IFPUG) in the mid-1980s. By then, hundreds of software projects had been measured using both function points and lines of source code. Since an application's function-point total is independent of the source code, this dual analysis has led to several important discoveries.<>","1558-0814","","10.1109/2.471193","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=471193","","Productivity;High level languages;Protection;Counterfeiting;Internet;Equations;Functional programming;Software;Power generation;Power generation economics","programming languages;software metrics;software cost estimation;human resource management;software development management","empirical data;software projects;function-point metrics;lines-of-code metrics;backfiring;direct mathematical conversion;bidirectional equations;source-code volume;programming language;inputs;outputs;logical files;inquiries;interfaces;function-point total","","12","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Formalizing COSMIC-FFP using ROOM","H. Diab; M. Frappier; R. St. Denis","Dept. de Math. et d'Inf., Sherbrooke Univ., Que., Canada; NA; NA","Proceedings ACS/IEEE International Conference on Computer Systems and Applications","7 Aug 2002","2001","","","312","318","We propose a formalization of the COSMIC Full Function Point (COSMIC-FFP) measure for the Real-time Object Oriented Modeling (ROOM) language. COSMIC-FFP is a measure of the functional size of software. It has been proposed by the COSMIC group as an adaptation of the function point measure for real-time systems. The definition of COSMIC-FFP is general and can be applied to any specification language. The benefits of our formalization are twofold. First it eliminates measurement variance, because the COSMIC informal definition is subject to interpretation by COSMIC-FFP raters, which may lead to different counts for the same specification, depending on the interpretation made by each rater. Second it allows the automation of COSMIC-FFP measurement for ROOM specifications, which reduces measurement costs. Finally, the formal definition of COSMIC-FFP can provide a clear and unambiguous characterization of COSMIC-FFP concepts which is helpful for measuring COSMIC-FFP for other object-oriented notations like UML.","","0-7695-1165-1","10.1109/AICCSA.2001.934002","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=934002","","Software measurement;Size measurement;Costs;Real time systems;Productivity;Quality management;Outsourcing;Software quality;Contracts;Measurement standards","software cost estimation;software metrics;real-time systems;object-oriented languages;specification languages;formal specification","COSMIC-FFP;ROOM language;COSMIC Full Function Point measure;Real-time Object Oriented Modeling language;software functional size;function point measure;specification language;formal specification;object-oriented notations;UML;software metrics","","12","","9","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Automated FPA (eFPA) in SAP Environment - Visions and Experiences of Automated Function Point Analysis","C. Kuijpers","DutchSoft Technol., Netherlands","2014 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement","5 Jan 2015","2014","","","72","78","Dynamic market conditions, changing technologies and continuous improvement require more IT financial transparency than ever. The market is characterized by large IT investments. Regarding the investments, managers require a clear understanding of the costs and require means to control them. The most effective metrics are those that are applicable during all stages of the development process. This paper describes an automated FPA solution called eFPA that is based on counting system components in a reusable way. The eFPA is based on a digital delivery of system objects from a repository. There is no specific knowledge of FPA necessary. eFPA provides the ability to calculate quickly and calculate variants to perform intermediate counts during the project.","","978-1-4799-4174-2","10.1109/IWSM.Mensura.2014.35","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7000079","function points;functional size measurement;SAP;automated counting","Standards;Software;Size measurement;Investment;Companies","software cost estimation;software metrics","eFPA;SAP environment;automated function point analysis;dynamic market conditions;changing technologies;continuous improvement;IT financial transparency;IT investments;development process;automated FPA solution;counting system components;system objects digital delivery;functional size measurement","","3","","6","","5 Jan 2015","","","IEEE","IEEE Conferences"
"Living with function points","A. Lubashevsky","AT&T Bell Labs., Warren, NJ, USA","Proceedings of NOMS '96 - IEEE Network Operations and Management Symposium","6 Aug 2002","1996","2","","632","635 vol.2","The number of people who develop software at AT&T Bell Laboratories has grown steadily since the 1960's. Major productivity improvements were made, but efforts to reliably measure them were unsuccessful. With more than half of its technical people working on software projects and one in every 12 employees in AT&T now involved in one way or another in the creation of software, a major effort to produce world-class software is underway. The key to this new program is a shift from counting lines of code to using function points to size software projects. Improved predictability, simplified designs, contained feature creep, and reduced redundancy are the direct results of deploying formal function point analysis (FPA). Estimates of the effort required to do a job are twice as accurate with FPA as with conventional methods. This presentation describes: the software initiative at AT&T, the history of usage of FPA in AT&T, source lines of code (SLOC) vs. function points and the best current practices, automation of the function point count and estimation process, changes in AT&T's metrics policy and experiences in measurements based on FPA. The bumpy road of software measurement, the problems in estimating software project size and effort, and some positive results of using a measurement program are also discussed.","","0-7803-2518-4","10.1109/NOMS.1996.539637","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=539637","","Software measurement;Current measurement;Size measurement;USA Councils;Internet;Productivity;Creep;Redundancy;History;Automation","software metrics;software cost estimation","AT&T Bell Laboratories;software projects;function points;formal function point analysis;software initiative;source lines of code;estimation process;function point count;metrics policy;software measurement;project size","","1","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Enhancing the Cocomo estimation models","J. Hale; A. Parrish; B. Dixon; R. K. Smith","Dept. of Inf. Syst., Stat. & Manage. Sci., Alabama Univ., Tuscaloosa, AL, USA; NA; NA; NA","IEEE Software","6 Aug 2002","2000","17","6","45","49","In software engineering, team task assignments appear to have a significant potential impact on a project's overall success. The authors propose task assignment effort adjustment factors that can help tune existing estimation models. They show significant improvements in the predictive abilities of both Cocomo I and II by enhancing them with these factors.","1937-4194","","10.1109/52.895167","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=895167","","Concurrent computing;Project management;State estimation;Productivity;Programming profession;Veins;Application software;Time measurement;Government;Procurement","software cost estimation;project management;software development management;software metrics;human resource management;personnel","Cocomo estimation models;software engineering;team task assignments;project success;task assignment effort adjustment factors;estimation models;predictive abilities;Cocomo II;Cocomo I","","9","","10","","6 Aug 2002","","","IEEE","IEEE Magazines"
"A metrics-based decision support tool for software module interfacing technique selection to lower maintenance cost","W. R. Bitman","Appl. Phys. Lab., Johns Hopkins Univ., Baltimore, MD, USA","Proceedings Sixth International Software Metrics Symposium (Cat. No.PR00403)","6 Aug 2002","1999","","","170","178","The Interfacing Techniques Comparison Graph visually compares applications in terms of attributes that relate to maintenance cost. Applications that have both lower coupling and lower complexity lie closer to the origin of the graph and exhibit lower maintenance cost than those that do not. The study supports the idea that compositional techniques are important for achieving these improved metrics. The graph can be used in three ways. First it serves as a decision support tool for managers to determine whether expected maintenance savings compensate for the additional training, effort and time needed to support compositional development. Second, it functions as a decision support tool for designers and coders as they determine, for each module interface, whether to use coupled techniques or composition. The graph can help identify those situations in which the long term cost gain justifies the extra time needed for compositional design. Third, it can serve as a maintenance cost estimation tool. The study found a close correlation between predicted and actual maintenance effort.","","0-7695-0403-5","10.1109/METRIC.1999.809738","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=809738","","Software tools;Costs;Software maintenance;Software quality;Application software;Management training;Software design;Libraries;Physics;Laboratories","software metrics;software maintenance;decision support systems;graph theory","metrics based decision support tool;software module interfacing technique selection;maintenance cost;Interfacing Techniques Comparison Graph;compositional techniques;decision support tool;expected maintenance savings;compositional development;module interface;coupled techniques;long term cost gain;compositional design;maintenance cost estimation tool;maintenance effort","","","","22","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Early metrics for object oriented designs","B. Baldassari; C. Robach; L. du Bousquet","LCIS, INP Grenoble, Valence, France; LCIS, INP Grenoble, Valence, France; NA","First International Workshop onTestability Assessment, 2004. IWoTA 2004. Proceedings.","16 May 2005","2004","","","62","69","To produce high quality object-oriented systems, a strong emphasis on the development process is necessary. This implies two implicit and complementary goals. First, to ensure a full control over the whole process, enabling accurate cost and delay estimation, resource efficient management, and a better overall understanding. Second, to improve quality all along the system lifecycle at development and maintenance stage. On the client side, a steady control over the development process implies a better detection and elimination of faults, raising the viability and usability of the system. This paper introduces a realistic example of metrics integration in the development process of object-oriented software. By addressing early stages of the design (ie. class diagram), we can anticipate design-level errors or warnings thus enabling a reduction of immediate and further costs and problems. Metrics used are issued from state of the art object-oriented research, and integrated in the widespread unified process of software development.","","0-7803-8851-8","10.1109/IWOTA.2004.1428417","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1428417","","Software quality;Testing;Costs;Delay estimation;Programming;Indium phosphide;Resource management;Control systems;Fault detection;Software engineering","software quality;program testing;object-oriented programming;software metrics;software cost estimation;software maintenance","early metrics;object oriented designs;cost estimation;delay estimation;resource efficient management;quality;software development;maintenance;development process;object-oriented software;class diagram","","","","25","","16 May 2005","","","IEEE","IEEE Conferences"
"A comparison of approaches to reuse investment analysis","J. Favaro","Intecs Sistemi SpA, Pisa, Italy","Proceedings of Fourth IEEE International Conference on Software Reuse","6 Aug 2002","1996","","","136","145","Software reuse economics has been the subject of vigorous study over the past few years. Although significant progress has been made in the areas of reuse metrics and cost estimation, work to date in reuse investment analysis has not always reflected accepted mainstream financial analysis practices. This paper compares several approaches that have been described in the reuse literature, points out known problems and indicates remedies.","","0-8186-7301-X","10.1109/ICSR.1996.496121","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=496121","","Investments;Software reusability;Bridges;Programming;Cost benefit analysis;Software engineering;Solids;Profitability;Books;Financial management","software reusability;investment;DP industry;economics;software cost estimation;software metrics;software management","software reuse investment analysis;software reuse metrics;software cost estimation;financial analysis practices;net present value;cashflow;discount rate;internal rate of return;payback;profitability index;book value;amortization","","18","","22","","6 Aug 2002","","","IEEE","IEEE Conferences"
"A cost effectiveness indicator for software development","H. Erdogmus","NRC Institute for Information Technology, Canada","First International Symposium on Empirical Software Engineering and Measurement (ESEM 2007)","15 Oct 2007","2007","","","446","448","Product quality, development productivity, and staffing needs are main cost drivers in software development. The paper proposes a cost-effectiveness indicator that combines these drivers using an economic criterion.","1949-3789","978-0-7695-2886-1","10.1109/ESEM.2007.47","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4343774","","Costs;Programming;Productivity;Production;Remuneration;Economic indicators;Software engineering;Software measurement;Information technology","software cost estimation;software metrics;software quality","software development productivity;software cost effectiveness indicator;software product quality;software staffing metrics","","","","10","","15 Oct 2007","","","IEEE","IEEE Conferences"
